AchieveList.msbt
AchieveListCategoriesHeroKirby	Abilities
AblMahoroaVanishBtn	In midair, use \x0e\x04\x13\x02À\0 + \x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblGhostTitle	Ghost
AblGhostAttack	Attack
AblGhostDoubleAttack	Double Attack
AblGhostTackle	Tackle
AblGhostVanish	Vanish
AblGhostAttackBtn	\x0e\x04\x06\x022\0
AblGhostDoubleAttackBtn	Press and hold \x0e\x04\x06\x022\0, then release
AblGhostTackleBtn	Dash + \x0e\x04\x06\x022\0
AblGhostVanishBtn	Hold \x0e\x04\x05\x021\0
AblGrabTitle	Gobble/Grab
AblGrabGrab	Gobble/Grab
AblGrabDirection	Change Direction
AblGrabVomit	Spit/Throw
AblGrabGrabBtn	\x0e\x04\x07\x023\0 (or \x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0 + \x0e\x04\x06\x022\0)
AblGrabDirectionBtn	\x0e\x04\x18\x02Å\0 after Gobble/Grab
AblGrabVomitBtn	\x0e\x04\x07\x023\0 (or \x0e\x04\x06\x022\0) after Gobble/Grab
DialogExit	Quit this battle and return to\nthe menu?
Result.msbt
ClearRogue_LastScoreText	Current Score
ClearRogue_TotalScoreText	Total Score
ClearRogue_TotalScoreNewRecord	NEW
ClearRogue_TotalScoreText_Lv1	Chapter 1\nTotal Score
ClearRogue_TotalScoreText_Lv2	Chapter 2\nTotal Score
ClearRogue_TotalScoreText_Lv3	Chapter 3\nTotal Score
ClearRogue_TotalScoreText_Lv4	Chapter 4\nTotal Score
ClearRogue_TotalScoreText_Lv5	Final Chapter\nTotal Score
ClearRogue_WinCount	\x0e\x02\x01\0
ClearSingle_LastClearTimeText	Clear Time
ClearSingle_LastClearTimeNum	\x0e\x02\x02\0:\x0e\x02\x02\0.{s[075]}\x0e\x02\x02\0{s[100]}
ClearSingle_TotalClearTimeText	Total Clear Time
ClearSingle_TotalClearTimeNum	\x0e\x02\x02\0:\x0e\x02\x02\0.{s[075]}\x0e\x02\x02\0{s[100]}
ClearSingle_WinStreak	\x0e\x02\x01\0-win streak!
ClearSingle_HandicapEasy	{s[075]}Difficulty: {s[100]}Easy
ClearSingle_HandicapNormal	{s[075]}Difficulty: {s[100]}Normal
ClearSingle_HandicapHard	{s[075]}Difficulty: {s[100]}Hard
ClearSingle_HandicapVeryHard	{s[075]}Difficulty: {s[100]}Very Hard
ClearSingle_OperationGuide	\x0e\x04\x07\x023\0 Clear Time Details
ClearSingle_ClearTimeListTitle	Clear Time
ClearSingle_ClearTimeListFightCount	{s[080]}Round {s[100]}\x0e\x02\x01\0
ClearSingle_ClearTimeListClearTime	\x0e\x02\x02\0:\x0e\x02\x02\0.{s[075]}\x0e\x02\x02\0{s[100]}
ClearSingle_ClearTimeListReturn	\x0e\x04\x06\x022\0 Back
Winner_Team	Team
Rankup_Header	Fighters Points Earned
Rankup_Bonus	Network Battle\n{s[075]}Bonus x{s[100]}\x0e\x02\x02\0
Rankup_Bonus_Floor	Double-Score Stage\n{s[075]}Bonus x{s[100]}\x0e\x02\x02\0
Rankup_Bonus_Item	Score-Bonus Sticker\n{s[075]}Bonus x{s[100]}\x0e\x02\x02\0
Rankup_TotalPointText	Fighters Points
Rankup_PointNum	\x0e\x02\x02\0 pts
Rankup_PointNum_Minus	-\x0e\x02\x02\0 pts
UnlockText	Unlocked!
UnlockKindHeroKirby	Abilities
UnlockKindHeroFriends	Buddy
UnlockKindGear	Rare \x0e\x02\x04\0 Hat
UnlockKindStage	Battle Stage
UnlockKindSubBgm	Secret Song
UnlockKindRogueItem	Story Item
UnlockBaseHeroKirby	\x0e\x02\x04\0
UnlockBaseHeroFriends	\x0e\x02\x05\0
UnlockBaseGear	\x0e\x02\x06\0
UnlockBaseStage	\x0e\x02\x07\0
UnlockBaseSubBgm	\x0e\x02\x07\0 (Secret Song)
UnlockBaseRogueItem	\x0e\x02\x08\0
UnlockHeroKirbyWhip	Whip
UnlockHeroKirbyCutter	Cutter
UnlockHeroKirbySword	Sword
UnlockHeroKirbyNinja	Ninja
UnlockHeroKirbyParasol	Parasol
UnlockHeroKirbyHammer	Hammer
UnlockHeroKirbyBeam	Beam
UnlockHeroKirbyFighter	Fighter
UnlockHeroKirbyBomb	Bomb
UnlockHeroKirbySniper	Archer
UnlockHeroKirbyBeetle	Beetle
UnlockHeroKirbyBell	Bell
UnlockHeroKirbyArtist	Artist
UnlockHeroKirbyWrestler	Wrestler
UnlockHeroKirbyYoyo	Yo-Yo
UnlockHeroKirbyStick	Staff
UnlockHeroKirbyWater	Water
UnlockHeroFriendsMetaknight	Meta Knight
UnlockHeroFriendsKingDedede	King Dedede
UnlockHeroFriendsGooey	Gooey
UnlockHeroFriendsMahoroa	Magolor
UnlockGearWhipRare1	Ten-Gallon Hat
UnlockGearWhipRare2	Daroach Hat
UnlockGearCutterRare1	Sir Kibble Helmet
UnlockGearCutterRare2	Punk Mohawk
UnlockGearSwordRare1	Blade Knight Helm
UnlockGearSwordRare2	Ultra Sword Hat
UnlockGearSwordRare3	Flamberge Style
UnlockGearSwordRare4	Hero Sword Hat
UnlockGearNinjaRare1	Shinobi Hood
UnlockGearNinjaRare2	Samurai Helmet
UnlockGearParasolRare1	Paper Parasol
UnlockGearParasolRare2	Sectonian Queen's Parasol
UnlockGearHammerRare1	Black-Steel Hammer
UnlockGearHammerRare2	Masked Dedede Hammer 2.0
UnlockGearBeamRare1	Marx's Hat
UnlockGearBeamRare2	Magoloran Garb
UnlockGearBeamRare3	Francisca Style
UnlockGearFighterRare1	Knuckle Headgear
UnlockGearFighterRare2	Goriath Hat
UnlockGearBombRare1	Heart Bomb Hat
UnlockGearBombRare2	Pirate's Tricorn
UnlockGearSniperRare1	Hunter's Hat
UnlockGearSniperRare2	Cyber Hat
UnlockGearBeetleRare1	Hornhead Helmet
UnlockGearBeetleRare2	Hydra Helmet
UnlockGearBellRare1	Temple Bell
UnlockGearBellRare2	Sleigh Bell
UnlockGearArtistRare1	Vividria Style
UnlockGearArtistRare2	Elline Clay Style
UnlockGearWrestlerRare1	Sumo Topknot
UnlockGearWrestlerRare2	Roaring Mask
UnlockGearYoyoRare1	Flashy Knit Cap
UnlockGearYoyoRare2	Noble Cap
UnlockGearStickRare1	Whispy Headgear
UnlockGearStickRare2	Cheer Style
UnlockGearStickRare3	Zan Partizanne Style
UnlockGearWaterRare1	Goldfish Bowl
UnlockGearWaterRare2	Whale Splasher
UnlockStageCastleLololo	Castle Lololo
UnlockStageBubblyClouds	Bubbly Clouds
UnlockStageForestCoo	Coo's Forest
UnlockStageDededeRing	Dedede Arena
UnlockStageFactory	Factory Tour
UnlockStageBoyoyonHand	Springy Hand Land
UnlockStageDynaBlade	Dyna Blade's Nest
UnlockStageButterBuilding	Butter Building
UnlockStageVolcano	Haldera Volcano
UnlockStageRainbowResort	Fountain of Dreams
UnlockStageRunawayTrain	Waddle Dee Train Tracks
UnlockStageGreenGreeting	Green Gardens
UnlockStageJambastion	Fortress of Shadows Jambastion Entrance
UnlockStageSummit	The Empyrean
UnlockStageGigavolt	Gigavolt
UnlockStageGigantGround	Dried-up Sea
UnlockStageGourmetRace	Gourmet Go Go
UnlockStageDededeTower	Stage of Destined Rivals
UnlockStageDededeTower2	Stage of the Partners
UnlockStagePractice	Training
UnlockRogueItem005	Attack Stone Lv. 3
UnlockRogueItem006	Attack Stone Lv. 4
UnlockRogueItem007	Cursed Attack Stone Lv. 5
UnlockRogueItem010	Health Stone Lv. 3
UnlockRogueItem011	Health Stone Lv. 4
UnlockRogueItem012	Cursed Health Stone Lv. 5
UnlockRogueItem018	Recovery Stone Lv. 1
UnlockRogueItem019	Recovery Stone Lv. 2
UnlockRogueItem020	Recovery Stone Lv. 3
UnlockRogueItem021	Recovery Stone Lv. 4
UnlockRogueItem022	Cursed Recovery Stone Lv. 5
UnlockRogueItem023	Buddy Skill Up
UnlockRogueItem034	Ghost Stone Lv. 1
UnlockRogueItem035	Ghost Stone Lv. 2
UnlockRogueItem036	Ghost Stone Lv. 3
UnlockRogueItem037	Ghost Stone Lv. 4
UnlockRogueItem038	Cursed Ghost Stone Lv. 5
UnlockRogueItem041	Quick-Charge Stone Lv. 3
UnlockRogueItem042	Quick-Charge Stone Lv. 4
UnlockRogueItem043	Cursed Quick-Charge Stone Lv. 5
UnlockRogueItem047	Boss Badge
UnlockRogueItem053	Auto-Heal Sticker
UnlockRogueItem054	Auto-Guard I
UnlockRogueItem055	Auto-Guard II
UnlockRogueItem056	Anti-Hazard Charm
UnlockRogueItem059	Anti-Gordo Charm
UnlockRogueItem060	Zap Weapon Sticker
UnlockRogueItem061	Ice Container Breaking Sticker
UnlockRogueItem064	Item Selection Plus
UnlockRogueItem065	Cursed Auto-Heal Ring
UnlockRogueItem066	Cursed Attack Ring
UnlockRogueItem067	Cursed Anti-Ghost Ring
ScoreFirstStrike	First Strike
ScoreNoResurrect	No Revival
ScoreNoDamage	No Damage (P1)
ScoreRemainTime	Remaining-Time Bonus
ScoreBaseStageChange	Cleared \x0e\x02\t\0
ScoreStageChangeGale	Speedy Stage
ScoreStageChangeMoment	Hustle Stage
ScoreStageChangeDriftIce	Ice Container Stage
ScoreStageChangePainGround	Deadly Hazard Stage
ScoreStageChangeLotOfNeedles	Gordo Ball Stage
ScoreStageChangeHighSpeed	Speedy-Mech Stage
ScoreStageChangePowerWarrior	Brutal-Foe Stage
ScoreStageChangeExplosion	Explosive Stage
ScoreStageChangeShellsHail	Crackler Stage
ScoreStageChangeAmazing	Action Star Stage
RankPoint_Rogue_OneBattleClear	Battle Cleared
RankPoint_Rogue_BossBattleClear	Boss Defeated
RankPoint_Rogue_FromAllScore	Final-Score Conversion
RankPoint_Rogue_FirstOrdealClear	First-Time Chapter Clear
RankPoint_Rogue_GeneralOrdealClear	Chapter Clear
RankPoint_Single_OneBattleClear	Battles Won: \x0e\x02\x01\0
RankPoint_Single_FromTotalClearTime	Clear-Time Conversion
RankPoint_Single_FirstDifficultyClear	First-Time Difficulty Clear
RankPoint_Single_GeneralDifficultyClear	Difficulty Clear
RankPoint_OfflineMulti_NotTeamPlace1	Solo Battle Rank #1
RankPoint_OfflineMulti_NotTeamPlace2	Solo Battle Rank #2
RankPoint_OfflineMulti_NotTeamPlace3	Solo Battle Rank #3
RankPoint_OfflineMulti_NotTeamPlace4	Solo Battle Rank #4
RankPoint_OfflineMulti_NotTeam_Tie_1st	Solo Battle Rank #1 (tie)
RankPoint_OfflineMulti_NotTeam_Tie_2nd	Solo Battle Rank #2 (tie)
RankPoint_OfflineMulti_NotTeam_Tie_3rd	Solo Battle Rank #3 (tie)
RankPoint_OfflineMulti_TeamPlace1	Team Battle Rank #1
RankPoint_OfflineMulti_TeamPlace2	Team Battle Rank #2
RankPoint_OfflineMulti_TeamPlace3	Team Battle Rank #3
RankPoint_OfflineMulti_Team_Tie_1st	Team Battle Rank #1 (tie)
RankPoint_OfflineMulti_Team_Tie_2nd	Team Battle Rank #2 (tie)
RankPoint_OfflineMulti_Draw	Draw
RankPoint_Local_NotTeamPlace1	Solo Battle Rank #1
RankPoint_Local_NotTeamPlace2	Solo Battle Rank #2
RankPoint_Local_NotTeamPlace3	Solo Battle Rank #3
RankPoint_Local_NotTeamPlace4	Solo Battle Rank #4
RankPoint_Local_NotTeam_Tie_1st	Solo Battle Rank #1 (tie)
RankPoint_Local_NotTeam_Tie_2nd	Solo Battle Rank #2 (tie)
RankPoint_Local_NotTeam_Tie_3rd	Solo Battle Rank #3 (tie)
RankPoint_Local_TeamPlace1	Team Battle Rank #1
RankPoint_Local_TeamPlace2	Team Battle Rank #2
RankPoint_Local_TeamPlace3	Team Battle Rank #3
RankPoint_Local_Team_Tie_1st	Team Battle Rank #1 (tie)
RankPoint_Local_Team_Tie_2nd	Team Battle Rank #2 (tie)
RankPoint_Local_Draw	Draw
RankPoint_InetFriend_NotTeamPlace1	Solo Battle Rank #1
RankPoint_InetFriend_NotTeamPlace2	Solo Battle Rank #2
RankPoint_InetFriend_NotTeamPlace3	Solo Battle Rank #3
RankPoint_InetFriend_NotTeamPlace4	Solo Battle Rank #4
RankPoint_InetFriend_NotTeam_Tie_1st	Solo Battle Rank #1 (tie)
RankPoint_InetFriend_NotTeam_Tie_2nd	Solo Battle Rank #2 (tie)
RankPoint_InetFriend_NotTeam_Tie_3rd	Solo Battle Rank #3 (tie)
RankPoint_InetFriend_TeamPlace1	Team Battle Rank #1
RankPoint_InetFriend_TeamPlace2	Team Battle Rank #2
RankPoint_InetFriend_TeamPlace3	Team Battle Rank #3
RankPoint_InetFriend_Team_Tie_1st	Team Battle Rank #1 (tie)
RankPoint_InetFriend_Team_Tie_2nd	Team Battle Rank #2 (tie)
RankPoint_InetFriend_Draw	Draw
RankPoint_InetRandom_Place1	#1
RankPoint_InetRandom_Place2	#2
RankPoint_InetRandom_Draw	Draw
RankPoint_Rogue_FromAllScore_Minus	Game-Over Penalty
ConfirmStopRankUp	You can gain {c[ff8c00]}Fighters Rank{c[000000]} in\nthe Full Version! Increasing\nyour Fighters Rank unlocks\nmany {c[ff8c00]}characters {c[000000]}and {c[ff8c00]}stages{c[000000]}!
Step.msbt
RogueAttentionSpeedUp	Everyone's speed\nis doubled!
RogueAttentionDoublePoint	The victor's score\nis doubled!
RogueAttentionMoment	Seconds left: \x0e\x02\x01\0!
RogueAttentionDriftIce	The only items you get\nare Ice Containers!
RogueAttentionPainfulTerrain	Damage from\nhazards is doubled!
RogueAttentionMuscularStrength	The enemy's attack\npower is very high!
RogueAttentionLotOfNeedles	The only items you\nget are Gordo Balls!
RogueAttentionHighSpeedGear	The speed of\nhazards is doubled!
RogueAttentionExplosion	The only items you\nget are explosives!
RogueAttentionShells	The only items you\nget are Cracklers!
RogueAttentionWonderland	The only items you\nget are Action Stars!
RogueBossDemoO1Sub	Giant Tree Twins
RogueBossDemoO1BossUpper	Twin Woods
RogueBossDemoO3Sub	Old Rivals
RogueBossDemoO3BossUpper	King Dedede
RogueBossDemoO3BossLower	Meta Knight
RogueBossDemoO4Sub	Sworn Partners
RogueBossDemoO4BossUpper	King Dedede
RogueBossDemoO4BossLower	Meta Knight
RogueBossDemoO5Sub	Moon Warriors
RogueBossDemoO5BossUpper	Waning Crescent Masked Dedede
RogueBossDemoO5BossLower	Waxing Crescent Masked Meta Knight
RoguePlayerStock	\x0e\x02\x01\0
BasicTutorialBasicInfo	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0: Check detailed {c[ffe614]}control guide{c[000000]}!
BasicTutorialBasicAttack	\x0e\x04\x06\x022\0: {c[dc000f]}Attack!{c[000000]}
BasicTutorialBasicJump	\x0e\x04\x05\x021\0: {c[dc000f]}Jump!{c[000000]}
BasicTutorialBasicGuard	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0: {c[dc000f]}Guard!{c[000000]}
BasicTutorialBasicGrab	\x0e\x04\x07\x023\0: {c[dc000f]}Gobble/Grab\n{c[000000]}the enemy!
BasicTutorialUniteStarTitle	Use the {c[ffe614]}Buddy Star Blaster {c[000000]}together!
BasicTutorialUniteStar01	{c[dc000f]}Combine {c[000000]}the two parts!
BasicTutorialUniteStar02	Aim at the enemy and\npress \x0e\x04\x06\x022\0 to {c[dc000f]}shoot{c[000000]}!\nThis special move\ndoes {c[dc000f]}huge damage{c[000000]}!
FightHPValue	\x0e\x02\x01\0{s[075]}/{s[100]}{s[075]}\x0e\x02\x01\0{s[100]}
FightEnemyLevel	{s[085]}Level {s[100]}\x0e\x02\x01\0
FightEnemyHpPinch	Almost\nthere!
FightMouthfeeding	SMOOCH
FightPinchIcon	DANGER!
FightRevival	Revival!
FightGhostGage	Revival\nBoost
FightUniteStar	Aim and shoot!
InetRandomMatchingProgress	Matching...
ResetCommandPracticeBattle	\x0e\x04\t\x02`\0 + \x0e\x04\n\x02a\0 Reset
ExitPracticeBattle	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 Pause to exit this mode
FightCancel	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 + \x0e\x04\t\x02`\0 Quit battle
StoryText.msbt
Rogue_Text00_110	{c[ffe614]}King Dedede {c[000000]}and {c[ffe614]}Meta Knight{c[000000]}...\nMany times before have they\nstood in Kirby's path, even\nallying with one another on\noccasion.
Rogue_Text00_111	Now, to finally defeat Kirby, the\nold rivals have become partners,\ntaking on Kirby as a battle {c[ffe614]}team{c[000000]}!\nAnd so they sent Kirby a challenge.
Rogue_Text00_112	They lay in wait on the {c[ffe614]}Summit\n{c[000000]}of a lofty tower reaching to\nthe heavens, known as the\n{c[ffe614]}Buddy Fighters Tower{c[000000]}.
Rogue_Text00_113	Kirby couldn't understand\nwhat the letter said.\n\nBut that didn't stop him from\npartnering with a {c[ffe614]}buddy {c[000000]}and\nopening the door to the tower!
Rogue_Text00_114	So begins Kirby's battle\nwith the {c[ffe614]}destined rivals{c[000000]}!
Rogue_Text00_No	Chapter 1
Rogue_Text00_Title	Buddy Match Debut
Rogue_Text01_110	At last, it was time to battle\n{c[ffe614]}King Dedede{c[000000]} and {c[ffe614]}Meta Knight{c[000000]}!\nOr so Kirby thought.
Rogue_Text01_111	To his surprise, it was {c[ffe614]}Twin\nWoods{c[000000]} waiting at the top!
Rogue_Text01_112	After defeating Twin Woods,\nKirby and his buddy seemed\nto reach a {c[ffe614]}dead end{c[000000]}.{c[ffe614]}\n{c[000000]}Luckily, the defeated Twin\nWoods dropped a {c[ffe614]}door key\n{c[000000]}leading higher into the tower.
Rogue_Text01_113	Kirby and his buddy once\nagain began to climb, setting\ntheir sights on the {c[ffe614]}Summit\n{c[000000]}where King Dedede and Meta\nKnight await!
Rogue_Text01_No	Chapter 2
Rogue_Text01_Title	Secret of the Substitutes
Rogue_Text02_110	At the moment when {c[ffe614]}King\nDedede {c[000000]}and {c[ffe614]}Meta Knight\n{c[000000]}appeared to be defeated...\nthey turned out to be\n{c[ffe614]}imposters{c[000000]}!
Rogue_Text02_111	The "partners" were actually\na pair of {c[ffe614]}Waddle Dees{c[000000]} who\nhad taken the form of Kirby's\nrivals.
Rogue_Text02_112	The {c[ffe614]}real {c[000000]}King Dedede and\nMeta Knight were lying in\nwait even higher in the tower!
Rogue_Text02_113	Kirby and his buddy picked\nup the {c[ffe614]}key{c[000000]} that the Waddle\nDees dropped and once again\nbegan to climb the tower.
Rogue_Text02_No	Chapter 3
Rogue_Text02_Title	Challenge from the King and His Knight
Rogue_Text03_110	Using his {c[ffe614]}buddy{c[000000]}'s power to\ndrive away the tough foes\non each floor, Kirby finally\ncame face-to-face with the\n{c[ffe614]}real King Dedede {c[000000]}and\n{c[ffe614]}Meta Knight{c[000000]}!
Rogue_Text03_111	But the partnered rivals\nfled at the last minute...
Rogue_Text03_112	Their {c[ffe614]}bond{c[000000]} had grown deeper\nthrough battle. They went to\nthe lofty tower's Summit to\nkeep their power in reserve\nuntil Kirby arrived.
Rogue_Text03_113	With another key in hand,\nour heroes ventured forth\nto a {c[ffe614]}showdown {c[000000]}with the\n{c[ffe614]}destined rivals{c[000000]}!
Rogue_Text03_No	Chapter 4
Rogue_Text03_Title	Showdown with Destined Rivals
Rogue_Text04_110	At the end of a fierce battle,\nKirby and his buddy defeated\n{c[ffe614]}King Dedede{c[000000]} and {c[ffe614]}Meta Knight{c[000000]}.\nThe two of them have proven\nthemselves to be {c[ffe614]}the strongest\nBuddy Fighters{c[000000]}!
Rogue_Text04_111	After a tough fight, the\nvictorious pair was ready\nto settle down for a nice\nlittle snooze.
Rogue_Text04_112	But suddenly the {c[ffe614]}Buddy\nFighters Tower{c[000000]} grew to such\na height that it seemed to\npierce the heavens!
Rogue_Text04_113	They sensed the presence of\nthe king and knight far above\nthe clouds, radiating a {c[ffe614]}sinister\npower {c[000000]}unlike anything they had\nfelt up to now.
Rogue_Text04_114	Kirby and his buddy set out\nonce again to climb {c[ffe614]}the\nheaven-piercing tower{c[000000]}, which\nnow has hints of something\nsinister...
Rogue_Text04_115	This will truly be the\n{c[ffe614]}final showdown{c[000000]}!
Rogue_Text04_No	Final Chapter
Rogue_Text04_Title	The Partners Who Shook the Heavens
Rogue_Text05_110	At last, the unprecedented\nbattle with Kirby's rivals\nwas over.
Rogue_Text05_111	The mask that King Dedede\nused was the {c[ffe614]}Mask of Dark\nBonds{c[000000]}.
Rogue_Text05_112	In his eagerness to beat Kirby,\nKing Dedede used the fearsome\npower of the {c[ffe614]}mask{c[000000]}, causing the\nking and the knight to lose sight\nof themselves.
Rogue_Text05_113	Kirby and his buddy used the\npower of their {c[ffe614]}bond{c[000000]} to strike\nthe horrifying mask with the\n{c[ffe614]}Buddy Star Blaster{c[000000]}, shattering\nit spectacularly.
Rogue_Text05_114	However, King Dedede and\nMeta Knight's {c[ffe614]}power was\ngenuine{c[000000]}, flowing from their\ndeepened bond. Even without\nthe mask, they would have\nbeen worthy opponents.
Rogue_Text05_115	A stillness fell over the\nSummit of that tower which\npierced the heavens.
Rogue_Text05_116	The stars of the night sky\nwere so close that they were\nwithin arm's reach.
Rogue_Text05_117	They seemed to celebrate the\npartners' victory as they went\non sparkling, forever and ever...
Tips.msbt
Trial_1_Title	Demo Version
Trial_1_Body	In the Demo Version, you can't\ncreate a group for {c[ff8c00]}Local Play Mode\n{c[000000]}or {c[ff8c00]}Friend Match{c[000000]}, but you can join\nteams created in the full game!
Trial_2_Title	Full Version
Trial_2_Body	In the Full Version, you can play\nall the {c[ff8c00]}characters {c[000000]}and {c[ff8c00]}modes{c[000000]}!
Trial_3_Title	Full Version
Trial_3_Body	In the Full Version, battling will\nincrease your {c[ff8c00]}Fighters Rank{c[000000]}.\nGain more ranks to unlock new\n{c[ff8c00]}characters {c[000000]}and {c[ff8c00]}stages{c[000000]}!
Common_1_Title	Gobble/Grab
Common_1_Body	Go up close to someone and\n{c[ff8c00]}press \x0e\x04\x07\x023\0{c[000000]} to {c[ff8c00]}capture {c[000000]}them! It even\nworks while they're guarding!
Common_2_Title	Spit/Throw
Common_2_Body	{c[ff8c00]}Press \x0e\x04\x07\x023\0{c[000000]} after the {c[ff8c00]}Gobble/Grab {c[000000]}to\nSpit or Throw your target sideways!
Common_3_Title	Buddy Juggle
Common_3_Body	Do some extra damage by\n{c[ff8c00]}attacking {c[000000]}an enemy sent flying\nby a {c[ff8c00]}Spit or Throw{c[000000]}!
Common_4_Title	Escape
Common_4_Body	If you get captured by a {c[ff8c00]}Gobble or\nGrab{c[000000]}, escape by {c[ff8c00]}moving {c[000000]}\x0e\x04\x13\x02À\0 around\nin all directions!
Common_5_Title	Watch the Guard Gauge
Common_5_Body	When you hold \x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0 to {c[ff8c00]}Guard{c[000000]}, the\n{c[ff8c00]}Guard Gauge{c[000000]} will go down. If it\nreaches zero, you'll be {c[ff8c00]}stunned{c[000000]}!
Common_6_Title	Feed Me
Common_6_Body	Pick up some {c[ff8c00]}food {c[000000]}and {c[ff8c00]}feed {c[000000]}it\nto a teammate to {c[ff8c00]}restore {c[000000]}their\nstamina!
Common_7_Title	Thin Floor
Common_7_Body	You can move \x0e\x04\x15\x02Â\0 to {c[ff8c00]}fall {c[000000]}through\nthe{c[ff8c00]} thin floors{c[000000]} in all the stages!
Common_8_Title	Revival
Common_8_Body	If you run out of health, you'll\nturn into a {c[ff8c00]}ghost{c[000000]}, but don't\nworry. You can {c[ff8c00]}revive {c[000000]}by {c[ff8c00]}hitting\n{c[000000]}an enemy!
Common_9_Title	Stock Up on Fighters Points!
Common_9_Body	You get {c[ff8c00]}Fighters Points{c[000000]} by battling!\nScore even more in {c[ff8c00]}Online Mode{c[000000]}\nand{c[ff8c00]} Local Play Mode{c[000000]}!
Common_10_Title	Raise Your Fighters Rank
Common_10_Body	Earn {c[ff8c00]}Fighters Points{c[000000]} and your\n{c[ff8c00]}Fighters Rank{c[000000]} will go up! The\nhigher your Fighters Rank, the\nmore characters you can use!
Common_11_Title	Healing Meals
Common_11_Body	To avoid losing all your health,\neat {c[ff8c00]}food {c[000000]}to {c[ff8c00]}heal {c[000000]}as you fight!
Common_12_Title	Invincible Candy
Common_12_Body	Eat this to become {c[ff8c00]}invincible{c[000000]}\nand {c[ff8c00]}take no damage{c[000000]}!
Common_13_Title	Mint Leaf
Common_13_Body	This lets you attack with\n{c[ff8c00]}Air Bullets {c[000000]}for a little while.
Common_14_Title	Timed Dynamite
Common_14_Body	After a while, the {c[ff8c00]}meter {c[000000]}in the middle\nfills up and causes a {c[ff8c00]}huge explosion{c[000000]}!
Common_15_Title	Bomber
Common_15_Body	Throw it {c[ff8c00]}at an enemy{c[000000]} for an instant\nkaboom! Or Throw it on the ground\nand {c[ff8c00]}walk away{c[000000]} for a delayed bang!
Common_16_Title	Gordo Ball
Common_16_Body	When thrown, it expands into\na spiky {c[ff8c00]}Gordo{c[000000]}! Ouch!
Common_17_Title	Dash Shoes
Common_17_Body	These {c[ff8c00]}increase your speed{c[000000]}\nfor a little while!
Common_18_Title	Crackler
Common_18_Body	Hold it in your hand to shoot\n{c[ff8c00]}cannonballs {c[000000]}from the {c[ff8c00]}Crackler{c[000000]}\nfor a little while!
Common_19_Title	Action Star
Common_19_Body	This mysterious star will do\n{c[ff8c00]}something unexpected {c[000000]}after\nbeing activated by an {c[ff8c00]}attack{c[000000]}!
Common_20_Title	Mike
Common_20_Body	This loud microphone deals {c[ff8c00]}huge\ndamage {c[000000]}to all nearby enemies!
Common_21_Title	Cheer Pom-Poms
Common_21_Body	Pick these up and start dancing!\nIf you {c[ff8c00]}finish the dance{c[000000]}, your {c[ff8c00]}attack{c[000000]}\npower and {c[ff8c00]}speed {c[000000]}will increase!
Common_22_Title	Zap Weapon
Common_22_Body	{c[ff8c00]}Charge {c[000000]}electricity by {c[ff8c00]}attacking{c[000000]}!\nOnce fully charged, an {c[ff8c00]}electric\nshock {c[000000]}will strike the enemy!
Common_23_Title	Ice Container
Common_23_Body	If you {c[ff8c00]}attack {c[000000]}it enough to destroy\nit, you'll get the {c[ff8c00]}powerful item\n{c[000000]}hidden inside.
Common_24_Title	Use the Buddy Star Blaster!
Common_24_Body	{c[ff8c00]}Combine{c[000000]} these two parts to{c[ff8c00]} {c[000000]}form\nthe {c[ff8c00]}Buddy Star Blaster{c[000000]}!
Common_27_Title	Try Out Rare Hats!
Common_27_Body	If you have a {c[ff8c00]}rare hat{c[000000]} for Kirby,\nyou can {c[ff8c00]}change hats{c[000000]} by pressing\n\x0e\x04\x08\x024\0 when selecting a character!
Common_28_Title	Recovering Guard Gauge
Common_28_Body	The {c[ff8c00]}gauge {c[000000]}goes down when using\nGuard with \x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0, but it {c[ff8c00]}recovers\nautomatically{c[000000]} after a while!
Common_29_Title	Dodging
Common_29_Body	Move \x0e\x04\x13\x02À\0 while guarding to\nswiftly {c[ff8c00]}Dodge {c[000000]}an attack.
Common_30_Title	Gobble/Grab vs. Guard
Common_30_Body	\x0e\x04\x07\x023\0 {c[ff8c00]}Gobble/Grab {c[000000]}works on an\nenemy even while it's {c[ff8c00]}guarding{c[000000]}!
Common_31_Title	Revival Boost
Common_31_Body	In {c[ff8c00]}Rule Settings{c[000000]}, {c[ff8c00]}enable Revival\nBoost {c[000000]}to power up every time\nyou revive!
Common_32_Title	Ghost Appearance
Common_32_Body	The time it takes to become a\nghost gets {c[ff8c00]}longer {c[000000]}every time you\n{c[ff8c00]}repeat {c[000000]}becoming a ghost!
Common_33_Title	Bonus Rare Hat
Common_33_Body	If you've played {c[ff8c00]}Kirby Star Allies\n{c[000000]}before, you get a special {c[ff8c00]}rare hat{c[000000]}!
Common_35_Title	Bonus Rare Hat
