AchieveList.msbt
AchieveListCategoriesHeroKirby	のうりょく
TechnicalSupport_01	{r2[やさか]}八坂{/r2} {r2[しゅん]}俊{/r2}
TechnicalSupport_02	{r2[ひらの]}平野{/r2} {r2[こういちろう]}光一郎{/r2}
TechnicalSupport_03	{r2[いわもと]}岩本{/r2} {r2[みつお]}光生{/r2}
ArtWork	アートワーク
ArtWork_00	\x0e\x17\0\0{r2[いば]}㍖{/r2}\x0f\x17\0{r2[らき]}木{/r2} {r2[ゆうと]}勇斗{/r2}
ArtWork_01	{r2[おざき]}尾崎{/r2} ともみ
ArtWork_02	{r2[いまむら]}今村{/r2} {r2[えみ]}恵美{/r2}
Testing	テスティング
Testing_00	{r2[わだ]}和田{/r2} {r2[ゆうた]}雄太{/r2}
Testing_01	{r2[こばやし]}小林{/r2} {r2[まさる]}勝{/r2}
Testing_02	{r2[ふじた]}藤田{/r2} {r2[だいすけ]}大介{/r2}
Testing_03	{r2[もりやま]}森山{/r2} {r2[だいき]}太毅{/r2}
Testing_04	{r2[よしたけ]}吉竹{/r2} {r2[まき]}真紀{/r2}
Testing_05	{r2[くぼ]}久保{/r2} {r2[あいほ]}愛歩{/r2}
Testing_06	{r2[しもだ]}下田{/r2} {r2[ゆういち]}雄一{/r2}
Testing_07	{r2[かねこ]}金子{/r2} {r2[けいすけ]}佳祐{/r2}
Testing_08	ハルデバッグチーム
Testing_09	{r2[かぶしきがいしゃ]}株式会社{/r2}デジタルハーツ
Testing_10	マリオクラブ{r2[かぶしきがいしゃ]}株式会社{/r2}
LocalizationManagement	ローカライズマネージメント
LocalizationManagement_00	{r2[おとぐろ]}乙黒{/r2} {r2[せいじ]}誠二{/r2}
LocalizationManagement_01	{r2[あべ]}阿部{/r2} {r2[てつや]}哲也{/r2}
NOALocalizationManagement	NOA LOCALIZATION MANAGEMENT
NOALocalizationManagement_00	NATE BIHLDORFF
NOALocalizationManagement_01	REIKO NINOMIYA
NOALocalizationManagement_02	RICH AMTOWER
NOALocalizationManagement_03	ANN LIN
NOALocalizationManagement_04	TIM O'LEARY
NOALocalizationManagement_05	SCOT RITCHEY
NOALocalizationManagement_06	ÁLEX ZARZA
NOALocalization	NOA LOCALIZATION
NOALocalization_00	LAUREN AMMERMAN
NOALocalization_01	ANA CELESTE ASCANIO
NOALocalization_02	RHIONA DEY
NOALocalization_03	MARJOLAINE DROUIN
NOALocalization_04	STEVEN GRIMM
NOALocalization_05	PALOMA HERNANDEZ
NOALocalization_06	SARA HOAD
NOALocalization_07	JOSÉE LEBEAU-BÉDARD
NOALocalization_08	NICH MARAGOS
NOALocalization_09	KENTO OIWA
NOALocalization_10	FANNIE SENÉCAL
NOALocalization_11	LUDOVIC TIENTCHEU
NOALocalization_12	MARCIA TOLEDO
NOALocalization_13	YANETT CEPEDA VALOR
NOALocalization_14	TARYN ZIEGLER
NOAProductTesting	NOA PRODUCT TESTING
NOAProductTesting_00	KENTARO NISHIMURA
NOAProductTesting_01	KIRK BUCHANAN
NOAProductTesting_02	TOMO ISHIYAMA
NOAProductTesting_03	SEAN EGAN
NOAProductTesting_04	TOMOKO MIKAMI
NOAProductTesting_05	ANDY KOLDEN
NOAProductTesting_06	JIM HOLDEMAN
NOAProductTesting_07	MANNA YAMASAKI
NOAProductTesting_08	MADISON LEVITAN
NOAProductTesting_09	DANNY MORRIS
NOAProductTesting_10	DAVID FIGLAR
NOAProductTesting_11	MICHAEL SAHLIN
NOAProductTesting_12	JAMES DILLON
NOAProductTesting_13	JOSH YAGI-STANTON
NOAProductTesting_14	MAIRO SMALL
NOAProductTesting_15	FRANK CARAAN
NOAProductTesting_16	RILEY SCOTT
NOAProductTesting_17	JACOB JORGENSEN
NOAProductTesting_18	CRAIG SO
NOAProductTesting_19	PRODUCT TESTING TECHNICIANS
NOELocalizationProducers	NOE LOCALISATION PRODUCERS
NOELocalizationProducers_00	LIAM HIGGINS
NOELocalizationProducers_01	DARIO DE LEO
NOETranslation	NOE TRANSLATION
NOETranslation_00	ROBY LIEBETRUTH
NOETranslation_01	DANIELLE JORGENSON-MURRAY
NOETranslation_02	EREN BAYKAL
NOETranslation_03	FLORENCE D'ANTERROCHES
NOETranslation_04	ZADIA MESSERLI
NOETranslation_05	JEAN-PAUL HAUSMANN
NOETranslation_06	MIRKO CAPOCELLI
NOETranslation_07	BARBARA PISANI
NOETranslation_08	FRITHJOF KOEPP
NOETranslation_09	MARTINA DEIMEL
NOETranslation_10	ALEXANDER VAN DE BERGH
NOETranslation_11	AINHOA BERNAD HURTADO
NOETranslation_12	JOSÉ MANUEL MALAGÓN LEÓN
NOETranslation_13	JÓNATAN MARCOS MILLÁN
NOETranslation_14	BLANCA HUESO TAULÉS
NOETranslation_15	PATRICK KOUDSTAAL
NOETranslation_16	CHRISTIAN BUTER
NOETranslation_17	CARSTEN HARMANS
NOEQualityAssurance	NOE QUALITY ASSURANCE
NOEQualityAssurance_00	ÁNGEL MORENO COLMENA
NOEQualityAssurance_01	PTW INTERNATIONAL UK
NOKTranslation	NOK TRANSLATION
NOKTranslation_00	JIHYUEN YOO
NOKQualityAssurance	NOK QUALITY ASSURANCE
NOKQualityAssurance_00	JEEWAN CHUN
NOKArtwork	NOK ARTWORK
NOKArtwork_00	SUZY DO
NHLTranslation	NHL TRANSLATION
NHLTranslation_00	SEAN SHEN
NHLTranslation_01	TRACY CHENG
NHLTranslation_02	WANG ZHONG LONG
NHLQualityAssurance	NHL QUALITY ASSURANCE
NHLQualityAssurance_00	DIGITAL HEARTS Co., Ltd.
NHLArtwork	NHL ARTWORK
NHLArtwork_00	MIKE KAN
iQueLocalizationCoordination	iQue LOCALIZATION COORDINATION
iQueLocalizationCoordination_00	KEISUKE FUKUSHIMA
iQueTranslation	iQue TRANSLATION
iQueTranslation_00	QIU XIAOCHUN
iQueQualityAssurance	iQue QUALITY ASSURANCE
iQueQualityAssurance_00	YAN GANG
SpecialThanks	スペシャルサンクス
SpecialThanks_00	{r2[あずまだ]}東田{/r2} {r2[ひろき]}弘樹{/r2}
SpecialThanks_01	{r2[たかぎ]}高木{/r2} {r2[やすお]}恭男{/r2}
SpecialThanks_02	{r2[ながた]}永田{/r2} {r2[よしひろ]}善裕{/r2}
SpecialThanks_03	{r2[せのお]}妹尾{/r2} {r2[あやか]}文香{/r2}
SpecialThanks_04	{r2[なかの]}中野{/r2} {r2[ひろあき]}宏晃{/r2}
SpecialThanks_05	{r2[のずえ]}野末{/r2} {r2[たかし]}高士{/r2}
SpecialThanks_06	{r2[えんどう]}遠藤{/r2} {r2[ゆうき]}裕貴{/r2}
SpecialThanks_07	{r2[かみやま]}神山{/r2} {r2[たつや]}達哉{/r2}
SpecialThanks_08	{r2[きた]}北{/r2} {r2[けんいちろう]}健一郎{/r2}
SpecialThanks_09	{r2[ないとう]}内藤{/r2} {r2[みつや]}充哉{/r2}
SpecialThanks_10	{r2[うしこし]}牛越{/r2} {r2[あきみつ]}昭光{/r2}
SpecialThanks_11	{r2[みやざわ]}宮澤{/r2} めぐみ
SpecialThanks_12	{r2[おざわ]}小澤{/r2} {r2[あきら]}亨{/r2}
SpecialThanks_13	{r2[おざわ]}小澤{/r2} {r2[としき]}俊生{/r2}
SpecialThanks_14	{r2[こすぎ]}小杉{/r2} {r2[ようこ]}葉子{/r2}
SpecialThanks_15	{r2[あさかわ]}浅川{/r2} {r2[まこ]}真如{/r2}
SpecialThanks_16	{r2[みねむら]}峰村{/r2} {r2[ともひろ]}智大{/r2}
SpecialThanks_17	{r2[えぐち]}江口{/r2} {r2[あきら]}聖{/r2}
SpecialThanks_18	{r2[おさだ]}長田{/r2} {r2[ゆみ]}有美{/r2}
SpecialThanks_19	{r2[かわはら]}川原{/r2} {r2[りえこ]}理恵子{/r2}
SpecialThanks_20	{r2[なかがみ]}仲上{/r2} {r2[まさよ]}雅代{/r2}
SpecialThanks_21	{r2[やだ]}矢田{/r2} {r2[ゆうき]}雄紀{/r2}
SpecialThanks_22	{r2[いのうえ]}井上{/r2} {r2[ゆりな]}祐里奈{/r2}
SpecialThanks_23	{r2[べっしょ]}別所{/r2} {r2[すみこ]}澄子{/r2}
SpecialThanks_24	{r2[おびかね]}帯金{/r2} {r2[ちえこ]}千恵子{/r2}
SpecialThanks_25	{r2[いしだ]}石田{/r2} {r2[さとし]}聡{/r2}
SpecialThanks_26	{r2[あべ]}阿部{/r2} {r2[はるか]}晴果{/r2}
SpecialThanks_27	{r2[いからし]}五十嵐{/r2} {r2[ひろあき]}広朗{/r2}
SpecialThanks_28	JEFF MILLER
SpecialThanks_29	グッド・フィール
Coordinators	コーディネーター
Coordinators_00	{r2[なかにし]}中西{/r2} {r2[けんた]}健太{/r2}
Coordinators_01	{r2[にのみや]}二宮{/r2} {r2[けい]}啓{/r2}
ProjectManagement	プロジェクトマネージメント
ProjectManagement_00	{r2[すずき]}鈴木{/r2} {r2[よしき]}義樹{/r2}
ProjectManagement_01	{r2[たかはし]}高橋{/r2} {r2[いさお]}功{/r2}
ProjectManagement_02	{r2[きくち]}菊地{/r2} {r2[たつや]}達也{/r2}
Producer	プロデューサー
Producer_00	{r2[かみたけ]}上武{/r2} {r2[ただし]}理志{/r2}
Producer_01	{r2[つだ]}津田{/r2} {r2[じゅん]}純{/r2}
Producer_02	{r2[のなか]}野中{/r2} {r2[とよかず]}豊和{/r2}
Producer_03	{r2[きなし]}木梨{/r2} {r2[あきら]}玲{/r2}
GeneralProducer	ゼネラルプロデューサー
GeneralProducer_00	{r2[かわせ]}川瀬{/r2} {r2[しげふみ]}滋史{/r2}
GeneralProducer_01	{r2[たかはし]}高橋{/r2} {r2[しんや]}伸也{/r2}
GeneralProducer_02	{r2[えぐち]}江口{/r2} {r2[かつや]}勝也{/r2}
ExecutiveProducer	エグゼクティブプロデューサー
ExecutiveProducer_00	{r2[ふるかわ]}古川{/r2} {r2[しゅんたろう]}俊太郎{/r2}
Copyright	制作・著作　株式会社ハル研究所／任天堂株式会社\n©2020 HAL Laboratory, Inc. / Nintendo
EnemyCut.msbt
StageChangeTitle01	{r2[ぜんいん]}全員{/r2}スピードアップの{r2[ま]}間{/r2}
StageChangeInfo01	てき・みかた {r2[ぜんいん]}全員{/r2}の\n{c[ffe614]}スピードが 2{r2[ばい]}倍{/r2}！{c[000000]}
StageChangeTitle02	かくとくスコア2{r2[ばい]}倍{/r2}の{r2[ま]}間{/r2}
StageChangeInfo02	バトル しょうりで\nもらえる{c[ffe614]}スコアが 2{r2[ばい]}倍{/r2}！{c[000000]}
StageChangeTitle03	せいげん{r2[じかん]}時間{/r2}の{r2[ま]}間{/r2}
StageChangeInfo03	のこり{r2[じかん]}時間{/r2} {c[ffe614]}\x0e\x02\x01\0{r2[びょう]}秒{/r2}！{c[000000]}\nてきを すばやく たおせ！
StageChangeTitle04	アイスコンテナの{r2[ま]}間{/r2}
StageChangeInfo04	{r2[で]}出{/r2}てくる アイテムは\n{c[ffe614]}アイスコンテナ{c[000000]} だけ！
StageChangeTitle05	{r2[ちけい]}地形{/r2}ダメージ2{r2[ばい]}倍{/r2}の{r2[ま]}間{/r2}
StageChangeInfo05	ステージの {c[ffe614]}しかけ{c[000000]} から\nうけるダメージが {c[ffe614]}2{r2[ばい]}倍{/r2}！{c[000000]}
StageChangeTitle06	てきこうげきアップの{r2[ま]}間{/r2}
StageChangeInfo06	{c[ffe614]}てきの こうげきりょく{c[000000]}が\nものすごく パワーアップ！
StageChangeTitle09	ゴルボールの{r2[ま]}間{/r2}
StageChangeInfo09	{r2[で]}出{/r2}てくる アイテムは\n{c[ffe614]}ゴルボール{c[000000]}だけ！
StageChangeTitle10	{r2[こうそく]}高速{/r2}メカギミックの{r2[ま]}間{/r2}
StageChangeInfo10	ステージの {c[ffe614]}しかけ{c[000000]}の\nうごく{c[ffe614]}スピードが 2{r2[ばい]}倍{/r2}！{c[000000]}
StageChangeTitle13	ばくはつアイテムの{r2[ま]}間{/r2}
StageChangeInfo13	{r2[で]}出{/r2}てくる アイテムは {c[ffe614]}ボンバー{c[000000]}と\n{c[ffe614]}タイマーダイナマイト{c[000000]}だけ！
StageChangeTitle14	クラッカーの{r2[ま]}間{/r2}
StageChangeInfo14	{r2[で]}出{/r2}てくる アイテムは\n{c[ffe614]}クラッカー{c[000000]}だけ！
StageChangeTitle15	ハプニングスターの{r2[ま]}間{/r2}
StageChangeInfo15	{r2[で]}出{/r2}てくる アイテムは\n{c[ffe614]}ハプニングスター{c[000000]}だけ！
RogueLevel1	{s[070]}{r2[だい]}第{/r2}{s[100]}1{s[070]}{r2[しょう]}章{/r2}{s[100]}
RogueSub1	はじまりのバディマッチ
RogueLevel2	{s[070]}{r2[だい]}第{/r2}{s[100]}2{s[070]}{r2[しょう]}章{/r2}{s[100]}
RogueSub2	{r2[かげむしゃ]}影武者{/r2}のヒミツ
RogueLevel3	{s[070]}{r2[だい]}第{/r2}{s[100]}3{s[070]}{r2[しょう]}章{/r2}{s[100]}
RogueSub3	{r2[だいおう]}大王{/r2}と{r2[きし]}騎士{/r2}への{r2[ちょうせん]}挑戦{/r2}
RogueLevel4	{s[070]}{r2[だい]}第{/r2}{s[100]}4{s[070]}{r2[しょう]}章{/r2}{s[100]}
RogueSub4	{r2[けっせん]}決戦{/r2}！{r2[しゅくめい]}宿命{/r2}のライバル{r2[たち]}達{/r2}
RogueLevel5	{s[070]}{r2[だい]}第{/r2}{s[100]}5{s[070]}{r2[しょう]}章{/r2}{s[100]}
RogueSub5	{r2[しん]}真{/r2}の{r2[けっせん]}決戦{/r2}！{r2[てん]}天{/r2}を{r2[つらぬ]}貫{/r2}く{r2[きずな]}絆{/r2}
RogueFloor	\x0e\x02\x01\0{s[070]}{r2[かい]}階{/r2}{s[100]}
RogueFloorTop	{r2[さいじょうかい]}最上階{/r2}
SingleLevelEasy	やさしい
SingleLevelNormal	ふつう
SingleLevelHard	むずかしい
SingleLevelVeryHard	めちゃむず
SingleRound	\x0e\x02\x01\0{s[070]}{r2[せん]}戦{/r2}{r2[め]}目{/r2}{s[100]}
SingleFinalRound	{r2[さいしゅうせん]}最終戦{/r2}
EnemyNameKirby	{s[070]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
EnemyNameOther	{s[070]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
Name_Boss_Unknown	？？？
Name_Boss_TwinWoods	ツインウッズ
Name_Boss_DoublesEdge	ダブルスエッジ
Name_Boss_KingDedede	デデデ大王
Name_Boss_Metaknight	メタナイト
Name_Boss_ShadowKirby	シャドーカービィ
Enemy1Level	{s[085]}レベル{s[100]}\x0e\x02\x01\0
Enemy2Level	{s[085]}レベル{s[100]}\x0e\x02\x01\0
ItemRoom.msbt
ItemRoomTitle	アイテムルーム
NextInfo	{s[060]}のこり{s[100]}{c[ffe614]}\x0e\x02\x01\0{c[000000]}{s[060]}{r2[かい]}階{/r2}{s[100]}
NextInfoLastFloor	{s[060]}つぎが{s[100]}{s[060]} {s[100]}{s[080]}{c[ffe614]}{r2[さいじょうかい]}最上階{/r2}！{c[000000]}{s[100]}
HpRecovery	たいりょく {c[ffe614]}+\x0e\x02\x01\0{c[000000]}\nかいふく！
Notice	アイテムを ひとつ えらんで パワーアップ！
ItemNum	\x0e\x02\x01\0{s[070]}コ もっている{s[100]}
Guide	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0つよさをみる
GaugeAttack	こうげきりょく
GaugeRecovery	アイテムかいふくりょく
GaugeGhostPower	ゴーストきょうか
GaugeCharge	チャージそくど
GaugeScore	\x0e\x02\x02\0
GaugeScoreText	スコア
GaugeDigits	\x0e\x02\x01\0
GaugePopupPlus	+\x0e\x02\x02\0
GaugePopupMinus	-\x0e\x02\x02\0
DialogItemText	を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！
DialogButton0	{r2[うえ]}上{/r2}の{r2[かい]}階{/r2}へ すすむ！
DialogButton1	セーブして やめる
FirstTime	アイテムを {c[ffe614]}ひとつだけ{c[000000]} えらんで\n{c[ffe614]}じぶん{c[000000]}と {c[ffe614]}バディ{c[000000]}を パワーアップしよう！\nどれを えらぶかは キミしだい！\nこうかは {c[ffe614]}{r2[さいじょうかい]}最上階{/r2}まで{c[000000]} ずっと つづくぞ！
FirstTimeSave	セーブしました。\nつづきは {c[ffe614]}とちゅうセーブから{c[000000]}\nあそぶことが できます。
ItemName000	マキシムトマト
DialogItemName000	マキシムトマト
ItemInfo000	とてもスゴイ {c[ffe614]}かいふく{c[000000]}アイテム。\n{c[ffe614]}たいりょく{c[000000]}が{c[ffe614]} \x0e\x02\x01\0 {c[000000]}かいふくする。
ItemName001	{r2[げんき]}元気{/r2}ドリンク
DialogItemName001	{r2[げんき]}元気{/r2}ドリンク
ItemInfo001	スゴイ {c[ffe614]}かいふく{c[000000]}アイテム。\n{c[ffe614]}たいりょく{c[000000]}が {c[ffe614]}\x0e\x02\x01\0{c[000000]} かいふくする。
ItemName002	チェリー
DialogItemName002	チェリー
ItemInfo002	{c[ffe614]}かいふく{c[000000]}アイテム。\n{c[ffe614]}たいりょく{c[000000]}が{c[ffe614]} \x0e\x02\x01\0{c[000000]} かいふくする。
ItemName003	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}1
DialogItemName003	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}1
ItemInfo003	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。\nじぶんと バディの\n{c[ffe614]}こうげきりょく{c[000000]}が {c[ffe614]}すこし{c[000000]}アップする。
ItemName004	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}2
DialogItemName004	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}2
ItemInfo004	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。\nじぶんと バディの\n{c[ffe614]}こうげきりょく{c[000000]}が {c[ffe614]}そこそこ{c[000000]}アップする。
ItemName005	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}3
DialogItemName005	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}3
ItemInfo005	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。\nじぶんと バディの\n{c[ffe614]}こうげきりょく{c[000000]}が {c[ffe614]}かなり{c[000000]}アップする。
ItemName006	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}4
DialogItemName006	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}4
ItemInfo006	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。\nじぶんと バディの\n{c[ffe614]}こうげきりょく{c[000000]}が {c[ffe614]}ものすごく{c[000000]}アップする。
ItemName007	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}5 {r2[のろい]}呪{/r2}
DialogItemName007	こうげきの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}5 {r2[のろい]}呪{/r2}
ItemInfo007	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。 じぶんと バディの\n{c[ffe614]}こうげきりょく{c[000000]}が {c[ffe614]}とんでもなく{c[000000]}アップする…が、\n{r2[いま]}今{/r2}のたいりょくの {c[ffe614]}{r2[はんぶん]}半分{/r2}のダメージ{c[000000]}を うける！
ItemName008	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}1
DialogItemName008	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}1
ItemInfo008	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。\nじぶんと バディの\n{c[ffe614]}{r2[さいだい]}最大{/r2}たいりょく{c[000000]}が {c[ffe614]}\x0e\x02\x01\0{c[000000]}アップする。
ItemName009	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}2
DialogItemName009	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}2
ItemInfo009	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。\nじぶんと バディの\n{c[ffe614]}{r2[さいだい]}最大{/r2}たいりょく{c[000000]}が{c[ffe614]} \x0e\x02\x01\0{c[000000]}アップする。
ItemName010	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}3
DialogItemName010	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}3
ItemInfo010	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。\nじぶんと バディの\n{c[ffe614]}{r2[さいだい]}最大{/r2}たいりょく{c[000000]}が {c[ffe614]}\x0e\x02\x01\0{c[000000]}アップする。
ItemName011	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}4
DialogItemName011	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}4
ItemInfo011	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。\nじぶんと バディの\n{c[ffe614]}{r2[さいだい]}最大{/r2}たいりょく{c[000000]}が {c[ffe614]}\x0e\x02\x01\0{c[000000]}アップする。
ItemName012	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}5 {r2[のろい]}呪{/r2}
DialogItemName012	たいりょくの{r2[いし]}石{/r2} {r2[レベル]}Lv{/r2}5 {r2[のろい]}呪{/r2}
ItemInfo012	とると つよさが {r2[あ]}上{/r2}がる{r2[いし]}石{/r2}。 じぶんと バディの\n{c[ffe614]}{r2[さいだい]}最大{/r2}たいりょく{c[000000]}が {c[ffe614]}\x0e\x02\x01\0{c[000000]}アップする…が、\n{r2[いま]}今{/r2}のたいりょくの {c[ffe614]}{r2[はんぶん]}半分{/r2}のダメージ{c[000000]}を うける！
