CheckSaveData.msbt
CreateFile	正在建立{c[dc000d]}儲存資料{c[000000]}，\n請稍候片刻。
BossNameTextTeam02	隊伍‧堅若磐石
BossNameTextWaterfrosty	泳將先生
BossNameTextTeam03	隊伍‧一刀兩半
BossNameTextIcezankibble	凍霜彎刀騎士老大
BossNameTextTeam04	隊伍‧敲金擊石
BossNameTextThunderdragon	電龍
BossNameTextFlamegalboros	火焰加爾波洛斯
BossNameTextTeam05	隊伍‧冷若冰霜
BossNameTextTeam06	隊伍‧三位一體
BossNameTextTeam07	隊伍‧風刀霜劍
BossNameTextGranPuruannaQBoard	四重 大型隊伍
BossNameTextGranPuruanna	大型‧噗嚕鰻
BossNameTextPoisonkracko	毒液獨眼雲
BossNameTextSusieEx	Pres.異次元蘇姿
BossNameTextNightmareEx	異次元夢魘 復仇
BossNameTextGalacticknight	圍繞淵源的英雄
BossNameTextGalacticknight_2	最終決戰
BossNameTextGalacticknightEx	圍繞淵源的英雄 光
BossNameTextGalacticknightEx_2	真 最終決戰
BossNameTextTeam08	隊伍‧三重浮空
BossNameTextTeam09	隊伍‧雙重擺動屁屁
BossNameTextTeam10	隊伍‧三重怪獸
BossNameTextVolgeromEx	火山蛙EX
BossNameTextTeam11	隊伍‧三重元素
BossNameTextMaskedBlackDededeEx	D大王‧意向 復仇
BossNameTextGalacticknightEx2	圍繞淵源的英雄 闇
BossNameTextGalacticknightEx2_2	真 最終決戰EX
BossNameTextUnknown	???
BossProfileTextUnknown	?????
BossProfileTextGigantedgeNormal	手中利刃閃耀著太陽的光芒！\n龐大刃登場了！\n躲開他揮舞的巨劍吧！
BossProfileTextBlazeedgeNormal	高舉火焰之劍的盔甲士兵\n擋在了獵人隊的面前！\n突破試煉探索吧！
BossProfileTextBlazeedgeNormal2	高舉火焰之劍的盔甲士兵\n擋在了獵人隊的面前！\n同心協力打倒他吧！
BossProfileTextBlazeedgeGod	撲克臉的火焰士兵\n隨時隨地都全力以赴！\n火氣不要那麼大嘛！
BossProfileTextMisterfrostyNormal	寒冰野獸現身！\n趕在沙丘凍結以前\n打敗讓人困擾的傢伙吧！
BossProfileTextMisterfrostyDemon	沸騰至赤紅的灼熱熔岩。\n回憶中故鄉的純白細雪。\n懷抱思鄉之情……使出冰凍頭錘！
BossProfileTextWaterfrostyHard	今天想要去海邊玩耍？\n全新版本的寒冰野獸\n絕對能讓大家全身濕透！
BossProfileTextWaterfrostyGod	即使來到了雲朵的盡頭，\n他也在這裡戲水！\n礙事的傢伙們全部濕透了！
BossProfileTextWhispyflowersNormal	蓊鬱深林中的古跡之主。\n從沉睡中甦醒的古老大樹\n堵住了去路……！
BossProfileTextWhispyflowersDemon	籠罩夜空的翠綠帷幕……\n古跡之主再度擋住去路！\n擊退那巨大的碩果吧！
BossProfileTextVolgeromHard	火山之王現身！\n躲過暴雨般的火焰與岩漿，\n正面迎戰試煉探索吧！
BossProfileTextVolgeromHard2	火山之王現身！\n躲過暴雨般的火焰與岩漿，\n正面迎戰灼熱的巨蛙吧！
BossProfileTextVolgeromDemon	全力以赴的火山之王！\n再怎麼令人熱血沸騰的戰鬥\n都不如最後光榮凱旋……！
BossProfileTextVolgeromExSuper	統治火山的王者，\n岩漿界的頂尖巨蛙\n向獵人隊襲來！
BossProfileTextLandiaHard	英勇慈祥的守護神\n突然向王國發起了攻擊！\n冷靜下來啊……四頭龍！
BossProfileTextLandiaDemon	四頭的天空守護者\n再次露出銳利的獠牙！\n仔細看清對方的動作，躲避攻擊吧！
BossProfileTextLandiaAprAnotherDemon	遭到王冠之力吞噬的\n異世界飛龍……\n為其墮落之翼找回光明吧……！
BossProfileTextLandiaExDemon	再度降臨的四頭守護神\n解放了真正的力量！\n這是代表決戰的試煉探索！
BossProfileTextLandiaExGod	解放了王冠之力的四頭龍，\n龍帝亞EX！\n躲過來自四方的攻擊吧！
BossProfileTextHelmehornNormal	最初的探索！\n打倒突然開始在海岸肆虐的\n巨大盔角蟲吧！
BossProfileTextHelmehornNormal2	性格溫和的森林居民盔角蟲，\n突然巨大化之後在海岸肆虐！\n到底是誰做出這種事情？
BossProfileTextHelmehornHard	響徹古跡的振翅聲！\n要小心對應他那\n自豪巨角的一擊！
BossProfileTextHelmehornGod	巨大的尖角劃過天際！\n他變得更強以後再度回歸！\n躲過來自空中的一擊吧！
BossProfileTextGranWaddledeeNormal	沉重的巨大瓦豆魯迪！\n善用長槍距離的遠程刺擊！\n一旦大意，就會被一「刺」解決！
BossProfileTextGranKabuNormal	巨像「大型‧石像怪」現身！\n從頭頂砸下的巨大落石，\n這次攜手合作襲來！
BossProfileTextGranHotheadHard	有一就有二，無三不成禮！\n這次加入了超高溫的熾熱頭！\n大塊頭們前來復仇！
BossProfileTextGranPuruanna	大型隊伍再度登場！\n大型‧噗嚕鰻的水流\n向獵人隊襲來！
BossProfileTextTaranzaHard	終於找到了魔法師的蹤跡！\n掙脫魔法之網，\n讓王國恢復和平吧！
BossProfileTextTaranzaDemon	在不同位置間不斷傳送！\n使用魔法迷惑獵人隊！\n抓緊機會，將攻擊傾注在對方身上！
BossProfileTextTaranzaSuper	最強級別的傀儡魔法師\n與身經百戰的獵人隊決戰！\n堂堂正正，一決勝負！
BossProfileTextNightmareNormal	只要有騷動的地方，\n一定都會有那個斗篷男的蹤影……\n勇闖試煉探索，揭開他的真面目吧！
BossProfileTextNightmareDemon	跟隨傳聞抵達了雲端……\n覺悟吧！斗篷魔法師！\n在試煉探索中好好教訓他！
BossProfileTextNightmareGod	以次元斗篷籠罩夜空，\n用粗糙雙手施放強力魔法！\n好好見識異世界魔法師的真正力量吧！
BossProfileTextNightmareExGod	過往的野心已經被狂怒吞噬，\n心裡只剩下恨意的男人\n等待著獵人隊到來……
BossProfileTextNightmareExGod_after	復仇的斗篷魔法師\n喚醒了遠古英雄！\n銀河最強的存在阻礙了去路！
BossProfileTextNightmareExSuper	魔法造詣登峰造極的異世界惡夢！\n為了讓眾人陷入永眠，\n施展復仇的一擊！
BossProfileTextNightmareExUber	傷痕另一側的獨眼閃爍光芒，\n因憎恨而失控的瘋狂復仇者！\n他想要的只有……獵人隊的命！
BossProfileTextMaskedBlackDededeDemon	斗篷魔法師打破了次元的界線，\n召喚出的敵人……是可怕的黑暗之王！\n守護王國的和平吧！卡比獵人隊！
BossProfileTextMaskedBlackDededeGod	再次與黑暗之王相對！\n巨大眼球放出的光束\n將會橫掃獵人隊！
BossProfileTextMaskedBlackDededeExUber	被喚醒的究極黑暗之王！\n僅有一縷希望之光能夠拯救王國，\n正是卡比獵人隊！前往大決戰吧！
BossProfileTextZankibbleNormal	白銀盔甲現身！\n巨大利刃劃破空氣！\n識破那蓄力彎刀吧！
BossProfileTextIceZankibbleHard	冰凍的藍色盔甲以嶄新姿態出現！\n寒冰利刃更加銳利，\n以優美的弧形逼近……！
BossProfileTextZankibbleDemon	再度與白銀盔甲相遇！\n他擲出的巨大利刃，\n就連幻影都能切斷！
BossProfileTextIceZankibbleGod	在草原現身的寒冰盔甲！\n巨大冰刃在空中飛舞，\n讓大地為之凍結！
BossProfileTextKrackoHard	獵人隊，千萬小心！\n統治天空的雲之精靈\n將化身天災阻礙去路……！
BossProfileTextPoisonKrackoDemon	毒時多雲偶陣雷！\n世上最可怕的氣象預報\n讓大家的表情無法放晴！
BossProfileTextPoisonKrackoGod	帶有劇毒的雷雲\n會往地面散布瓦斯！\n仔細觀察、躲避、反擊！
BossProfileTextPoisonKrackoSuper	傾注於深林的大雨\n化為令人畏懼的劇毒攻擊……\n讓這使大地腐爛的陰天轉晴吧！
BossProfileTextLowperHard	出現在空中的怪異身影……\n似乎是受到這個世界的能量吸引，\n不知道是從何處闖來。
BossProfileTextLowperDemon	來自遠方的迷途巨鳥再現！\n飛越次元的翅膀\n能夠融入漆黑的暗夜！
BossProfileTextLowperGod	出於對能量的貪婪，\n怪鳥從異世界潛入王國！\n看穿他的動作，將其擊退吧！
BossProfileTextBlockyNormal	頑固的傢伙出現了！\n注意它的動作與外表相反，\n出乎意料地迅速！
BossProfileTextBlockyHard	頑固的岩塊，再度登場！\n在荒涼的岩地不斷滾動，\n既重又硬，讓人困擾的傢伙！
BossProfileTextBlockyGod	還是一樣堅硬的傢伙！\n會以沉重身體震撼大地……\n躲開它的骰子突進吧！
BossProfileTextSparkBonkersNormal	那個會讓爭執對象\n通通麻痺的傢伙颯爽登場！\n巨大的木槌會帶著雷霆一起砸下！
BossProfileTextBonkersHard	纏繞著火焰的強力打擊！\n與狂野強者相約\n在沙丘決鬥！
BossProfileTextBonkersDemon	在古老之地靜靜等待……\n與揮舞木槌的狂野鬥士\n一決死戰！
BossProfileTextSparkBonkersDemon	王國廣為人知的惡棍\n變得更加狂暴！\n強大的電力已經讓他無人能擋！
BossProfileTextSparkBonkersGod	他得到了更加強大的力量，\n揮舞出電光四射的攻擊！\n躲避閃電，將他打敗吧！
BossProfileTextKingsdooNormal	那閃閃發光的圓潤大眼\n居然會射出光束！\n眼球型的敵人登場！
BossProfileTextPoisonborosHard	滿身毒液的敵人登場！\n不只會到處噴灑冒泡毒液，\n還會不斷爬行衝撞！
BossProfileTextPoisonborosGod	不斷出現的毒液敵人！\n它的毒液變得更加危險！\n用正義之力進行消毒吧！
BossProfileTextPoisonborosSuper	玷污草原的不肖之徒！\n只是弄黏還沒有關係，\n但不可以到處亂吐垃圾！
BossProfileTextFlamegalborosDemon	生於岩漿，長於火山！\n以吐火球當做招呼！\n如果輕易靠近我，可是會燙傷的！
BossProfileTextFlamegalborosGod	奇粗無比的眉毛可以讓眼睛涼爽！\n火山出身的熱血存在！\n生氣時的鼻息也相當粗魯！
BossProfileTextFlamegalborosSuper	超級別的敵人登場了！\n得到了更強的火力，\n纏繞著烈焰四處肆虐！
BossProfileTextTelepatrisHard	擅長使用奇異力量的\n魔法生物登場了！\n小心來自空中的奇襲！
BossProfileTextTelepatrisDemon	在空中飛舞的奇異敵人再度登場！\n識破從天而降的魔法，\n拿下這場讓人熱血沸騰的勝利吧！
BossProfileTextTelepatrisGod	輕鬆飛舞著玩弄對手，\n奇異的空中魔法生物！\n預測動向，躲避魔法！
BossProfileTextSusieDemon	從次元的裂縫降臨，\n來自遠方的美麗侵略者！\n擊退……未知文明的力量吧！
BossProfileTextSusieGod	在空中飛舞的鋼鐵身軀！\n未知文明的武器\n毫不留情地朝獵人隊襲來！
BossProfileTextSusieExGod	美貌與凶猛並存！\n降臨大地的異世界侵略者！\n不愧其Pres.之名……
BossProfileTextSusieExSuper	美麗的侵略者再次降臨！\n在異空間徬徨後取得更強的力量，\n她到底希望用這股力量得到什麼呢……
BossProfileTextIcedragonHard	從那龐然巨軀吐出的暴雪\n甚至能夠凍結草木！\n討伐寒冰之龍吧！
BossProfileTextIcedragonDemon	為什麼我會在這裡……\n暴風雪之龍\n對著晴朗的天空長吼……！
BossProfileTextIcedragonDemon2	讓帶有涼意的夜之沙丘\n變得更加寒冷的是冰之氣息！\n在結凍前打倒他吧！
BossProfileTextThunderdragonHard	漆黑的眼眸與電流攻擊！\n纏繞在身上的不是寒冰而是電氣，\n他的名字叫做電龍！
BossProfileTextThunderdragonDemon	古跡的居民全都逃跑了！\n那麻麻的電流攻擊讓人無法忍受！\n趕走電力之龍吧！
BossProfileTextThunderdragonGod	他召喚的雷霆\n將會襲向所有敵對者！\n在他坐倒以後要小心空中！
BossProfileTextThunderdragonSuper	呼喚閃電的飛龍再度登場！\n儲存在背板的百萬伏特，\n透過擺動尾巴四處飛散！
BossProfileTextTeamBigins	搗蛋鬼們組成了隊伍！\n用眼球光束打招呼，\n接著使出寒冰般的頭錘！
BossProfileTextTeamHardbodies	擅長突擊的麻煩對手\n這次組成隊伍襲來！\n要先躲開再從背後攻擊！
BossProfileTextTeamCutinhalf	我從左到右，一刀兩半！\n我從上到下，一刀兩半！\n我們是──隊伍‧一刀兩半！
BossProfileTextTeamRockhummers	碰！咚！低沉的聲音不輸浪潮聲，\n在四周不斷迴盪！\n沉重的那些傢伙組成隊伍登場！
BossProfileTextTeamFridges	冰凍利刃與冷凍吐息組成強大的隊伍！\n連靈魂都會為之凍結──\n隊伍‧冷若冰霜！
BossProfileTextTeamTriplets	眼球、巨角，還有黏糊糊的身體！\n是相當難以對付的3個對手！\n為什麼會組隊呢？三人組的原因是……
BossProfileTextTeamSwordstorms	盔甲士兵喚來了雷雲！\n斬斷一切的利刃\n與狂風暴雨發起雙重攻擊！
BossProfileTextTeamTripleAirs	魔法、異世界，還有糟糕的天氣！\n非常棘手的空中三人組\n躲過來自空中的攻擊吧！
BossProfileTextTeamTwinhips	不停搖擺的兩個屁屁！\n既軟嫩又美麗的二人組\n為你獻上冰雪與急流的慶典騷動！
BossProfileTextTeamTripleDragons	集結於超級別的3條龍！\n響徹沙丘的咆哮\n就是宣告激戰開始的號角！
BossProfileTextTeamTripleElements	利刃與錘子的攻擊！\n炎、雷、冰……3種屬性齊聚，\n最強隊伍在此成立！
BossProfileTextGalacticknightGod	復仇的斗篷魔法師\n喚醒了遠古英雄！\n銀河最強的存在阻礙了去路！
BossProfileTextGalacticknightSuper	遠古英雄，銀河最強的戰士！\n獵人隊，無須畏懼！\n展現你們4人的力量吧！
BossProfileTextGalacticknightExGod	圍繞淵源的英雄再度降臨！\n勇敢面對這場賭上世界命運的戰鬥吧！\n超級卡比獵人隊！
BossProfileTextGalacticknightEx2Uber	失去光明，染上黑暗的遠古英雄……！\n出發吧！超級卡比獵人隊！\n為這不斷輪迴的戰鬥畫下終止符！
JobBtnNameText1	英雄利劍
JobBtnNameText2	魔法光束
JobBtnNameText3	重錘子
JobBtnNameText4	治癒醫生
JobNameText1	英雄利劍
JobNameText2	魔法光束
JobNameText3	重錘子
JobNameText4	治癒醫生
JobDescriptionText1	{c[ff4b32]}攻守兼備{c[000000]}的劍士！\n在靈巧進攻的同時\n以手中的{c[ff4b32]}英雄盾\n{c[000000]}守護大家吧！
JobDescriptionText2	能{c[ff4b32]}讓時間停止{c[000000]}的魔法師！\n與敵人拉開距離，\n讓{c[ff4b32]}時間光束{c[000000]}不斷命中，\n製造攻擊的機會！
JobDescriptionText3	擁有{c[ff4b32]}最強力量{c[000000]}的重戰士！\n雖然速度比較慢，\n但是{c[ff4b32]}鬼殺火焰錘{c[000000]}\n擁有極高的攻擊力！
JobDescriptionText4	{c[ff4b32]}輔助回復{c[000000]}的學士！\n能夠用{c[ff4b32]}治癒地帶{c[000000]}\n來協助同伴，\n並且連續使出各種攻擊！
JobLevelText	等級
JobTotalExpText	經驗值
JobParamHpText	體力
JobParamAtkText	攻擊
JobParamCureText	回復
JobParamMeteorText	好友隕石
JobTotalExpValueText	\x0e\x02\x01\0
JobNextExpValueText	\x0e\x02\x01\0
JobNextLevelExpText	NEXT
JobNextLevelExpFullText	MAX！
MemberCheckDecideBtnText	出擊
MemberCheckClientDecideBtnText	準備OK！
MemberCheckClientDecideBtnText2	等待出擊
MemberBtnLevelText	等級
ConfirmDialogYesBtnText	是
ConfirmDialogNoBtnText	不是
ConfirmDialogWindowText	即將{c[dc000d]}出擊{c[000000]}探索。\n確定嗎？
TitleSingleBtnText	故事\n{s[080]}探索{s[100]}
TitleMultiBtnText	熱鬧\n{s[080]}探索{s[100]}
WaiwaiBtnInetText	{s[100]}線上{s[100]}\n{s[080]}廣場{s[100]}
WaiwaiBtnLocalText	鄰近主機\n{s[080]}通訊{s[100]}
WaiwaiBtnSingleText	單人\n{s[080]}遊玩{s[100]}
InetBtnOmakaseText	委託\n{s[080]}配對{s[100]}
InetBtnErandeText	選擇\n{s[080]}配對{s[100]}
InetBtnFriendText	朋友\n{s[080]}配對{s[100]}
TipsNowLoadingText	Now Loading……
TipsSword1HeaderText	英雄利劍的必殺技
TipsSword1BodyText	長按\x0e\x04\x06\x022\0施展{c[ffde00]}迴旋斬{c[000000]}！\n最多可3段蓄力！
TipsHammer1HeaderText	重錘子的必殺技
TipsHammer1BodyText	\x0e\x04\x17\x02Ä\0+長按\x0e\x04\x06\x022\0施展{c[ffde00]}鬼殺火焰錘{c[000000]}！\n最多可3段蓄力！
TipsDoctor1HeaderText	治癒醫生的必殺技
TipsDoctor1BodyText	長按\x0e\x04\x06\x022\0創造出治癒傷口的{c[ffde00]}治癒地帶{c[000000]}！\n最多可3段蓄力！
TipsBeam1HeaderText	魔法光束的必殺技
TipsBeam1BodyText	長按\x0e\x04\x06\x022\0發射讓敵人動作停滯的{c[ffde00]}時間光束{c[000000]}！\n最多可3段蓄力！
TipsSword2HeaderText	英雄利劍的盾
TipsSword2BodyText	以\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0舉起{c[ffde00]}英雄盾{c[000000]}！\n製造防護罩，保護同伴吧！
TipsHammer2HeaderText	最強的鬼殺火焰錘
TipsHammer2BodyText	已達最大蓄力階段的{c[ffde00]}鬼殺火焰錘{c[000000]}\n擁有全職業當中{c[ffde00]}最強的攻擊力{c[000000]}！
TipsDoctor2HeaderText	善用科學研究所
TipsDoctor2BodyText	\x0e\x04\x15\x02Â\0+超長按\x0e\x04\x06\x022\0就能使出{c[ffde00]}科學研究所{c[000000]}，\n只要命中就能造成巨大傷害！
TipsBeam2HeaderText	魔法光束與空中的敵人
TipsBeam2BodyText	{c[ffde00]}在空中飛舞的敵人{c[000000]}比起其他敵人\n更容易動作停滯，大約{c[ffde00]}1.5倍{c[000000]}！
TipsLithographHeaderText	取得石板吧
TipsLithographBodyText	不斷攻擊敵人，\n大家一起{c[ffde00]}收集石板{c[000000]}吧！
TipsMeteorHeaderText	協力技 好友隕石
TipsMeteorBodyText	收集所有石板，發動{c[ffde00]}好友隕石{c[000000]}！\n大家一起同心協力，造成巨大傷害吧！
TipsReviveHeaderText	復活的咒文
TipsReviveBodyText	跑到倒下的同伴附近，\n按\x0e\x04\x07\x023\0使對方{c[ffde00]}復活{c[000000]}！
TipsRevive2HeaderText	如果反覆施展復活的話
TipsRevive2BodyText	每次{c[ffde00]}復活{c[000000]}倒下的{c[ffde00]}同伴{c[000000]}所需的時間\n就會變得{c[ffde00]}更長{c[000000]}！
TipsMotivationHeaderText	回復幹勁
TipsMotivationBodyText	{c[ffde00]}幹勁{c[000000]}會隨時間經過而{c[ffde00]}回復{c[000000]}！\n如果吃下{c[ffde00]}蘋果寶石{c[000000]}的話，就能立刻回復！
TipsTimeUpHeaderText	即使時間耗盡
TipsTimeUpBodyText	即使{c[ffde00]}時間耗盡{c[000000]}，只要使用{c[ffde00]}蘋果寶石{c[000000]}\n就能增加時間，繼續戰鬥！
TipsGameOverHeaderText	即使遊戲結束
TipsGameOverBodyText	即使隊伍{c[ffde00]}全滅{c[000000]}，只要使用{c[ffde00]}蘋果寶石{c[000000]}\n就能原地{c[ffde00]}復活{c[000000]}！
TipsGameMaxLevelHeaderText	提升最大等級
TipsGameMaxLevelBodyText	只要{c[ffde00]}勇者級別{c[000000]}上升，\n{c[ffde00]}最大等級{c[000000]}也會跟著提升！
TipsMouthFeedHeaderText	由用嘴餵食回復體力
TipsMouthFeedBodyText	拿著食物往同伴靠近吧！\n{c[ffde00]}用嘴餵食{c[000000]}，回復體力！
TipsGuardHeaderText	按\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0來防禦
TipsGuardBodyText	按\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0來{c[ffde00]}防禦{c[000000]}敵人的攻擊！\n這樣就能降低受到的傷害！
