A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの大事な帽子を持って行っちまった
A0_1725_PIKACHU_100_2000	ものすごいガマン強さだな……
A0_1725_KAJICCHU01_100_2000	カジカジッ
A0_1725_PIKACHU_100_3000	動かないのは得意　ガマンも得意　か\nたいしたヤツだ
A0_1725_PIKACHU_100_4000	それにしても　アーマーガアのせいで\nとんだとばっちりだったな
A0_1725_PIKACHU_100_5000	おまえの仲間が待ってるぞ
A0_1755_PIKACHU_100_1000	これで　ひと通り　捜したはずなんだが
A0_1755_PIKACHU_100_2000	帽子と　残り１匹のカジッチュが\nまだ見当たらないな
A0_1755_TIM_100_1000	うーん　どこだろう……
A0_1758_PIKACHU_100_1000	ん？\nいま　木箱の後ろで　なにか動いたか？
A0_1758_TIM_100_1000	えっ　気づかなかったよ
A0_1758_PIKACHU_100_2000	もう１回　よく調べてみよう\nなにか　状況が　変わったかもしれん
A0_1823_TIM_100_1000	ピカチュウ！　カジッチュ！
A0_1823_PIKACHU_100_1000	おわっ
A0_1823_TIM_100_2000	大丈夫？
A0_1823_PIKACHU_100_2000	ナイスキャッチだ　ティム\nおかげで　無事だぜ
A0_1823_PIKACHU_100_3000	カジッチュも大丈夫か？
A0_1823_TIM_100_3000	うん　みんな再会できて喜んでるよ
A0_1823_PIKACHU_100_4000	そうか　よかった
A0_1823_PIKACHU_100_5000	帽子がひとりでに動いたから　驚いたよ\nまさか　オレの帽子に隠れていたなんてな
A0_1823_TIM_100_4000	きっと　アーマーガアが落とした帽子が\nカジッチュにかぶさったんだよ
A0_1823_PIKACHU_100_6000	そういえば！　ティム　帽子は！？
A0_1823_TIM_100_5000	ちゃんとあるよ　安心して
A0_1823_PIKACHU_100_7000	どうにか帽子を失わずに済んだな
A0_19001_TIM_100_1000	ぼくたちがもらった勲章だね
A0_19001_PIKACHU_100_1000	名探偵としての活躍の証だな\nこれからもがんばろうぜ　ティム
A0_19010_PIKACHU_100_1000	おお　過去の事件簿だな
A0_19010_TIM_100_1000	ピカチュウの指示で\nぼくが記録したものだよ
A0_19010_PIKACHU_100_2000	えらいじゃないかティム　過去の事件から\n学ぶことは多いぞ　ちょっと見せてくれ
A0_19010_PIKACHU_100_3000	ほう　Ｒ事件……　なつかしいな
A0_19010_PIKACHU_100_4000	オレたちが　コンビを組むことになった\n最初の事件だ
A0_19010_TIM_100_2000	うん　ポケモンの正気を失わせ\n凶暴化させる薬品Ｒ……
A0_19010_PIKACHU_100_5000	ああ　犯人はミュウツーの細胞から\n薬品Ｒをつくったんだ
A0_19010_TIM_100_3000	Ｒを与えられたポケモンは\n目の全体が赤くなり凶暴化する……
A0_19010_TIM_100_4000	ほんとうにひどい事件だったね
A0_19010_TIM_100_5000	なんの罪もないポケモンを利用して\n事件を起こすなんて
A0_19010_PIKACHU_100_6000	ああ　大変だったが\n犯人を逮捕することができた
A0_19010_PIKACHU_100_7000	そして薬品Ｒと\n犯人の手にわたった　ミュウツーの細胞
A0_19010_PIKACHU_100_8000	すべて回収したな
A0_19010_TIM_100_6000	……そういえば　あの事件\n犯人との最後の対決で
A0_19010_TIM_100_7000	ピカチュウは　わざを出せたよね？
A0_19010_TIM_100_8000	あれは　なんだったんだろう？\nいつもは　わざを出せないのに
A0_19010_PIKACHU_100_9000	そうだよな　オレも不思議だ\nハリーが行方不明になった後
A0_19010_PIKACHU_100_10000	なぜか　オレは記憶をなくし
A0_19010_PIKACHU_100_11000	さらに　わざを出せなくなってることに\n気づいたんだ
A0_19010_TIM_100_9000	あれは　火事場の馬鹿力？
A0_19010_PIKACHU_100_12000	ああ　そうかもしれん
A0_19010_PIKACHU_100_13000	わざを出した直後　全身から\nチカラが抜けて　気を失ったからな……
A0_19010_TIM_100_10000	あのときは　心配したよ
A0_30010_POLICEWOMAN01_100_1000	気を付けてください！
A0_30020_POLICEMAN03_100_1000	探偵さんも避難を！
A0_40040_PIKACHU_100_1000	なあ　さっきの　マメパトの言葉だが……\nどうも引っかかるんだ
A0_40040_TIM_100_1000	仲間が寝ているっていうのと\n大好きなニオイのことだよね？
A0_40040_PIKACHU_100_2000	そうだ
A0_40040_PIKACHU_100_3000	ツーンとイイニオイ\n眠けスッキリー♪　だ
A0_40040_TIM_100_2000	ニオイ　眠け　スッキリ……
A0_40040_TIM_100_3000	もしかして　さっきの話は\nニオイを使って……
A0_40040_TIM_100_4000	仲間を起こそうと思っていた　とか？
A0_40040_PIKACHU_100_4000	ティム　それだ！
A0_40040_PIKACHU_100_5000	マメパトが好きなツーンとイイニオイ！\nそれがあれば　目を覚ますかもしれないぞ！
A0_40040_TIM_100_5000	そうか　可能性はあるね！
A0_40040_TIM_100_6000	でも　どうやって　そのニオイを探すの？
A0_40040_PIKACHU_100_6000	まだ　避難していないポケモンたちが\nいるかもしれん　聞き込みをしてみよう
A0_40050_PIKACHU_100_1000	これから　なにをすればいいか\nオレに聞きたいか？
A0_40050_SEL_0_1000	はい
A0_40050_SEL_0_2000	いいえ
A0_40050_PIKACHU_300_1000	マメパトは気絶している
A0_40050_PIKACHU_300_2000	だから\n目を覚ましてやれる方法を見つけよう
A0_40050_PIKACHU_300_3000	ポケモンや人に話を聞くのはもちろんだが\nまわりの状況にも注意を払うんだ
A0_40050_PIKACHU_400_1000	そうか\nまあ　自分で考えるのもいいだろう
A0_40060_PIKACHU_100_1000	なにか　困ってないか？\nオレがアドバイスしようか？
A0_40060_SEL_0_1000	はい
A0_40060_SEL_0_2000	いいえ
A0_40060_PIKACHU_300_1000	フレフワンなら　きっと\nマメパトの目を覚ますことができるはずだ
A0_40060_PIKACHU_300_2000	フレフワンに　たのみに行こう
A0_40060_PIKACHU_400_1000	そうか\nまあ　それもいいだろう
A0_40070_PIKACHU_100_1000	どうした　迷ってるのか？\nオレが相談に乗るぞ？
A0_40070_SEL_0_1000	はい
A0_40070_SEL_0_2000	いいえ
A0_40070_PIKACHU_300_1000	アーマーガアが飛んで行った方向から\nポケモンの声が聞こえた
A0_40070_PIKACHU_300_2000	様子を確認しに行こう
A0_40070_PIKACHU_400_1000	そうか\n自分で考えてみるのもいいだろう
A0_40080_PIKACHU_100_1000	どうしたらいいか\nわからなくなっていないか？
A0_40080_PIKACHU_100_2000	オレの考えを話そうか？
A0_40080_SEL_0_1000	はい
A0_40080_SEL_0_2000	いいえ
A0_40080_PIKACHU_300_1000	このあたりの　ポケモンに\n聞き込みをしよう
A0_40080_PIKACHU_300_2000	帽子につながる　手がかりも\n得られるかもしれない
A0_40080_PIKACHU_400_1000	そうか\n困ってないならいいが　遠慮はするなよ
A0_40085_PIKACHU_100_1000	なにか　困ってないか？\nオレのアドバイスを聞くか？
A0_40085_SEL_0_1000	はい
A0_40085_SEL_0_2000	いいえ
A0_40085_PIKACHU_300_1000	現場検証をするには\n散らばったリンゴの近くの木がじゃまだ
A0_40085_PIKACHU_300_2000	とりあえず　木を調べてみるとしよう
A0_40085_PIKACHU_400_1000	そうか\nまあ　それもいいだろう
A0_40090_PIKACHU_100_1000	これから　なにをすればいいか\nオレに聞きたいか？
A0_40090_SEL_0_1000	はい
A0_40090_SEL_0_2000	いいえ
A0_40090_PIKACHU_300_1000	散らばったリンゴを　調べるんだ\nカジッチュを　捜さないとな
A0_40090_PIKACHU_400_1000	そうか\nまあ　自分で考えるのもいいだろう
A0_9020_TIM_100_1000	ソフィア　ライムシティは　初めてだよね？
A0_9020_SOPHIA_100_1000	うん！　にぎやかで楽しいところだね\n来てよかった！
A0_9020_SOPHIA_100_2000	アーマーガアには驚いたけど
A0_9020_TIM_100_2000	ソフィアも　母さんも　無事でよかったよ
A0_9030_IRENE_100_500	ティム　元気そうで安心したわ\n連絡もほとんどなかったじゃない
A0_9030_IRENE_100_1000	便りのないのはよい便り　とは言うけど\nちょっと度が過ぎるわよ！
A0_9030_TIM_100_2000	ご　ごめんなさい……
A0_9030_SEL_0_1000	ライムシティについて
A0_9030_SEL_0_2000	食事について
A0_9030_IRENE_300_1000	ライムシティは久しぶりね
A0_9030_IRENE_300_2000	ハリーに最後に会ったときだから\n２年ぶりかしら？
A0_9030_IRENE_400_1000	ティム　食事はどうしてるの？
A0_9030_TIM_400_1000	朝はハイハットカフェに行くのが日課なんだ
A0_9030_IRENE_400_2000	ハイハットカフェ？
A0_9030_TIM_400_2000	ピカチュウのお気に入りのお店でね
A0_9030_TIM_400_3000	最近移転して　家から近くなったんで\n朝はもっぱらそこさ
A0_9030_IRENE_400_3000	じゃあ　明日の夕食は久しぶりに\n腕を振るおうかしら
A0_9030_IRENE_400_4000	母さんの手料理が恋しいでしょ？
A0_9030_TIM_400_4000	うん　ありがとう　楽しみにしてるよ
A0_9040_SECRETEMILIA_100_1000	番組の途中ですが　臨時ニュースを\nお伝えします
A0_9040_PIKACHU_100_1000	お　なんだ？
A0_Drama.asset
A0_Drama_PIKACHU_100_10	オレはピカチュウ\n自分で言うのもなんだが……
A0_Drama_PIKACHU_100_20	名探偵だ！
A0_Drama_PIKACHU_100_30_NOMESSAGE	ズズー（コーヒーを啜る音）
A0_Drama_PIKACHU_100_40	ピカッとひらめく推理で\n様々な事件に　いどんでいる
A0_Drama_PIKACHU_100_50	相棒ハリーとの調査中に\nトラブルに巻き込まれ
A0_Drama_PIKACHU_100_60	ハリーはこつぜんと消え\nオレは記憶を失ってしまった
A0_Drama_PIKACHU_100_70	その後　街をさまよっていると\nティムに出会った
A0_Drama_PIKACHU_100_80	なぜか……　こいつとは会話ができる
A0_Drama_PIKACHU_100_90	オレたちの目的は共通していた
A0_Drama_PIKACHU_100_100	ティムの父親　そして　相棒である\n探偵ハリーを見つけること
A0_Drama_PIKACHU_100_110	ハリーの行方を追ううちに
A0_Drama_PIKACHU_100_120	ポケモンを狂わせる薬品Ｒにまつわる\n犯罪に巻き込まれた
A0_Drama_PIKACHU_100_130_NOMESSAGE	ズズー（コーヒーを啜る音）
A0_Drama_PIKACHU_100_140	オレとティムの活躍で　事件は解決し\nライムシティは救われたが……
A0_Drama_PIKACHU_100_150	ハリーは見つからず
A0_Drama_PIKACHU_100_160	いまも　オレたちは捜し続けている
A0_Drama_PIKACHU_100_170	ハリー　おまえ……\nいったいどこに行っちまったんだ？
A0_Drama_HOWARD_300_10	ライムシティのみなさんと　ポケモンとの\n新しい共生を考えるため
A0_Drama_HOWARD_300_20	本日より\nポケモン友好週間がはじまりました
A0_Drama_HOWARD_300_30	イベントを記念して
A0_Drama_HOWARD_300_40	ライムシティを救った\nティムくん　ピカチュウくんに　勲章を
A0_Drama_PIKACHU_300_10	ハリー！！
A0_Drama_HOWARD_300_50	ピカ？　ピカチュウくん　すまないね\nわたしの話が長くて退屈したかな？
A0_Drama_OAWOMAN02_300_10_NOMESSAGE	（大爆笑）
A0_Drama_TIM_300_10	もう……\nよくこんなときに居眠りできるね
A0_Drama_PIKACHU_300_20	すまん　すまん
A0_Drama_HOWARD_300_60	さて……\n２年前に起きたＲ事件により
A0_Drama_HOWARD_300_70	ライムシティが掲げる「ポケモンとの共生」\nという言葉に疑問符がつきました
A0_Drama_HOWARD_300_80	被害に遭われた方々には\n心よりおみまいを申し上げます……
A0_Drama_OAWOMAN02_300_20	あれは？
A0_Drama_OAWOMAN02_300_25_NOMESSAGE	（心配そうに騒ぎ出す市民たち）
A0_Drama_OCMAN01_300_10	アーマーガア？
A0_Drama_ARMORGA_300_10_NOMESSAGE	ガー（ガー）
A0_Drama_OHBUSINESSMAN01_300_10	おいおい　こっちに来るぞ！
A0_Drama_OKBUSINESSMAN01_300_10	ハワードさん　こちらへ！
A0_Drama_HOWARD_300_90_NOMESSAGE	(逃げる途中の息)
A0_Drama_ARMORGA_300_15_NOMESSAGE	ガー　ガー　ガー　ガー　ガー　ガー　ガー（ガオー）
A0_Drama_TIM_300_20	みんな！　はやく建物の中に！
A0_Drama_ARMORGA_300_20_NOMESSAGE	ガアー（ガオー）
A0_Drama_TIM_300_25_NOMESSAGE	うっ
A0_Drama_OAWOMAN02_300_30_NOMESSAGE	（悲鳴）
A0_Drama_TIM_300_30_NOMESSAGE	うわぁ！
A0_Drama_ARMORGA_300_25_NOMESSAGE	ガー　ガー（ガー　ガー）
A0_Drama_PIKACHU_300_30	これは　いったいどうしたんだ？
A0_Drama_TIM_300_40	まさかＲ？
A0_Drama_PIKACHU_300_40	Ｒ？　いや違う\nあのときとは　様子が違う
A0_Drama_ARMORGA_300_30_NOMESSAGE	ガアー（ガオー）
A0_Drama_PIKACHU_300_50	おいおい　落ちつけよ
A0_Drama_ARMORGA_300_40_NOMESSAGE	ガーガー（ガーガー）
A0_Drama_PIKACHU_300_60	わっ！
A0_Drama_ARMORGA_300_50_NOMESSAGE	ガアー（ガオー）
A0_Drama_TIM_300_60	あれ？　ピカチュウ
A0_Drama_PIKACHU_300_70	アーマーガアの野郎……
A0_Drama_PIKACHU_300_80	オレの大事な帽子を\n奪いやがった！
A0_Drama_TIM_300_70	父さんにもらったものだよね
A0_Drama_PIKACHU_300_90	ああ　取り返さないとな！
A0_Drama_PIKACHU_400_10	苦労させやがって……
A0_Drama_PIKACHU_400_20	お？
A0_Drama_PIKACHU_400_30	おいおい　待てって
A0_Drama_PIKACHU_400_40	あれれ？
A0_Drama_TIM_400_10	なに遊んでるの？
A0_Drama_PIKACHU_400_50	遊んでなんかいないぞ！\n帽子が勝手に動くんだよ
A0_Drama_TIM_400_20	そんなわけないでしょう？
A0_Drama_TIM_400_30	あっ！
A0_Drama_PIKACHU_400_60	な　言っただろ？
A0_Drama_ANASSY_400_10_NOMESSAGE	（やあ！）
A0_Drama_PIKACHU_400_70	取りに行くしかなさそうだな……
A0_Drama_TIM_400_33	だね
A0_Drama_PIKACHU_400_75	よーし　ティムたのむぜ！
A0_Drama_TIM_400_36	はいはい
A0_Drama_TIM_400_40	大丈夫？\n無茶しないでよ
A0_Drama_PIKACHU_400_80	まかせとけって
A0_Drama_PIKACHU_400_83	よいしょ　よいしょ
A0_Drama_PIKACHU_400_86	わ！
A0_Drama_PIKACHU_400_90	わわわわわわ～！
A0_Drama_PIKACHU_400_100	よいしょ　よいしょ
A0_Drama_PIKACHU_400_105	おっと
A0_Drama_PIKACHU_400_110	あわあわあわ
A0_Drama_PIKACHU_400_120	よいしょ　よいしょ
A0_Drama_PIKACHU_400_125	はあはあ……
A0_Drama_PIKACHU_400_130	うーん……
A0_Drama_PIKACHU_400_150	やっと取り返したぜ
A0_Drama_PIKACHU_400_155	あ！
A0_Drama_KAJICCHU_400_10_NOMESSAGE	（わ！）
A0_Drama_KAJICCHU_400_20_NOMESSAGE	（うりゃ）
A0_Drama_PIKACHU_400_160	どわっ！
A0_Drama_PIKACHU_400_170	わーー
A0_Drama_HOWARD_200_20	ありがとう　ティムくん
A0_Drama_HOWARD_200_30	そして相棒のピカチュウ
A0_Drama_PIKACHU_200_10	よっ！
A0_Drama_HOWARD_200_40	きみたちの活躍で\n街の人々が　どれだけ救われたことか
A0_Drama_HOWARD_200_50	ポケモンと人間の　共生を目指す\nライムシティにとって
A0_Drama_HOWARD_200_60	きみたちは\n理想の探偵コンビだよ
A0_Drama_HOWARD_200_70	さあ！　勲章を受け取ってくれたまえ
A0_Drama_TIM_200_10	ありがとうございます\nハワード市長
A0_Drama_HOWARD_200_80	ご苦労だったね\nピカチュウくん
A0_Drama_PIKACHU_200_20	ああ\nオレあっての　名探偵だ
