A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの　だいじなぼうしを\nもっていっちまった
A0_1655_PIKACHU_100_3000	すまんが　ちょっと　どいてくれないかー？
A0_1655_ANASSY_100_2000	ナッシー
A0_1657_TIM_100_1000	よかった\nいどうしてくれたね
A0_1657_PIKACHU_100_1000	これで　げんばけんしょうが　できるな
A0_1660_TIM_100_1000	ここが　リンゴがちらばった　げんばだね
A0_1660_PIKACHU_100_1000	さっそく　げんばけんしょうだ
A0_1670_PIKACHU_100_1000	さがすものは　おぼえてるか？
A0_1670_TIM_100_1000	２ひきの　カジッチュだね
A0_1670_PIKACHU_100_2000	そうだ　リンゴがたくさんだからな\nみおとすなよ？
A0_1680_PIKACHU_5000_1000	まだ　しらべてない　ところが\nあるんじゃないか？
A0_1685_PIKACHU_100_1000	うまいぞ　このリンゴ\nティム　おまえも　くうか？
A0_1685_PIKACHU_100_2000	おだいは　よろしく！
A0_1690_TIM_100_1000	リンゴのきばこだ\nカジッチュは　いないみたいだね
A0_1710_PIKACHU_100_1000	オレのぼうしだ！
A0_1710_TIM_100_1000	アーマーガアは\nぼうしを　おとしてたんだ！
A0_1710_PIKACHU_100_2000	さっきまで　ここには　なかったきがするが\nまあ　みつかってよかった
A0_1715_PIKACHU_100_1000	リンゴが　ちらばってるな
A0_1715_TIM_100_1000	カジッチュ……　みあたらないね
A0_1715_PIKACHU_100_2000	こうなっちまったら　このリンゴは　もう\nジュースかジャムにするしか　ないだろうな
A0_1715_PIKACHU_100_3000	オレは　キズものでも　きにならねえがな
A0_1725_TIM_100_1000	みつけた！　カジッチュだよ！
A0_1725_KAJICCHU01_100_1000	カジッ
A0_1725_PIKACHU_100_1000	おまえ　ずっとそこで　うごかずに\nリンゴのふりをしてたのか
A0_1725_PIKACHU_100_2000	ものすごい　ガマンづよさだな……
A0_1725_KAJICCHU01_100_2000	カジカジッ
A0_1725_PIKACHU_100_3000	うごかないのはとくい　ガマンもとくい　か\nたいしたヤツだ
A0_1725_PIKACHU_100_4000	それにしても　アーマーガアのせいで\nとんだ　とばっちりだったな
A0_1725_PIKACHU_100_5000	おまえのなかまが　まってるぞ
A0_1755_PIKACHU_100_1000	これで　ひととおり　さがしたはずなんだが
A0_1755_PIKACHU_100_2000	ぼうしと　のこり１ぴきのカジッチュが\nまだ　みあたらないな
A0_1755_TIM_100_1000	うーん　どこだろう……
A0_1758_PIKACHU_100_1000	ん？\nいま　きばこのうしろで\nなにかうごいたか？
A0_1758_TIM_100_1000	えっ　きづかなかったよ
A0_1758_PIKACHU_100_2000	もう１かい　よくしらべてみよう\nなにか　じょうきょうが\nかわったかもしれん
A0_1823_TIM_100_1000	ピカチュウ！　カジッチュ！
A0_1823_PIKACHU_100_1000	おわっ
A0_1823_TIM_100_2000	だいじょうぶ？
A0_1823_PIKACHU_100_2000	ナイスキャッチだ　ティム\nおかげで　ぶじだぜ
A0_1823_PIKACHU_100_3000	カジッチュもだいじょうぶか？
A0_1823_TIM_100_3000	うん\nみんな　さいかいできて　よろこんでるよ
A0_1823_PIKACHU_100_4000	そうか　よかった
A0_1823_PIKACHU_100_5000	ぼうしが　ひとりでにうごいたから\nおどろいたよ　まさか　オレのぼうしに\nかくれていたなんてな
A0_1823_TIM_100_4000	きっと　アーマーガアが\nおとしたぼうしが\nカジッチュに　かぶさったんだよ
A0_1823_PIKACHU_100_6000	そういえば！　ティム　ぼうしは！？
A0_1823_TIM_100_5000	ちゃんとあるよ　あんしんして
A0_1823_PIKACHU_100_7000	どうにか　ぼうしを　うしなわずにすんだな
A0_19001_TIM_100_1000	ぼくたちがもらった　くんしょうだね
A0_19001_PIKACHU_100_1000	めいたんていとしての\nかつやくの　あかしだな\nこれからも　がんばろうぜ　ティム
A0_19010_PIKACHU_100_1000	おお　かこの　じけんぼだな
A0_19010_TIM_100_1000	ピカチュウの　しじで\nぼくが　きろくしたものだよ
A0_19010_PIKACHU_100_2000	えらいじゃないかティム　かこのじけんから\nまなぶことは　おおいぞ\nちょっと　みせてくれ
A0_19010_PIKACHU_100_3000	ほう　Ｒじけん……　なつかしいな
A0_19010_PIKACHU_100_4000	オレたちが　コンビを　くむことになった\nさいしょの　じけんだ
A0_19010_TIM_100_2000	うん　ポケモンの　しょうきを　うしなわせ\nきょうぼうかさせる　やくひんＲ……
A0_19010_PIKACHU_100_5000	ああ　はんにんは\nミュウツーの　さいぼうから\nやくひんＲを　つくったんだ
A0_19010_TIM_100_3000	Ｒを　あたえられた　ポケモンは\nめの　ぜんたいが　あかくなり\nきょうぼうかする……
A0_19010_TIM_100_4000	ほんとうに　ひどい　じけんだったね
A0_19010_TIM_100_5000	なんの　つみもない\nポケモンを　りようして\nじけんを　おこすなんて
A0_19010_PIKACHU_100_6000	ああ　たいへんだったが\nはんにんを　たいほすることが　できた
A0_19010_PIKACHU_100_7000	そして　やくひんＲと\nはんにんの　てに　わたった\nミュウツーの　さいぼう
A0_19010_PIKACHU_100_8000	すべて　かいしゅうしたな
A0_19010_TIM_100_6000	……そういえば　あのじけん\nはんにんとの　さいごの　たいけつで
A0_19010_TIM_100_7000	ピカチュウは　わざを　だせたよね？
A0_19010_TIM_100_8000	あれは　なんだったんだろう？\nいつもは　わざを　だせないのに
A0_19010_PIKACHU_100_9000	そうだよな　オレも　ふしぎだ\nハリーが　ゆくえふめいに　なったあと
A0_19010_PIKACHU_100_10000	なぜか　オレは　きおくを　なくし
A0_19010_PIKACHU_100_11000	さらに　わざを　だせなくなってることに\nきづいたんだ
A0_19010_TIM_100_9000	あれは　かじばの　ばかぢから？
A0_19010_PIKACHU_100_12000	ああ　そうかもしれん
A0_19010_PIKACHU_100_13000	わざを　だした　ちょくご\nぜんしんから　チカラが　ぬけて\nきを　うしなったからな……
A0_19010_TIM_100_10000	あのときは　しんぱいしたよ
A0_30010_POLICEWOMAN01_100_1000	きをつけてください！
A0_30020_POLICEMAN03_100_1000	たんていさんも　ひなんを！
A0_40040_PIKACHU_100_1000	なあ　さっきの　マメパトのことばだが……\nどうも　ひっかかるんだ
A0_40040_TIM_100_1000	なかまが　ねているっていうのと\nだいすきなニオイの　ことだよね？
A0_40040_PIKACHU_100_2000	そうだ
A0_40040_PIKACHU_100_3000	ツーンとイイニオイ\nねむけスッキリー♪　だ
A0_40040_TIM_100_2000	ニオイ　ねむけ　スッキリ……
A0_40040_TIM_100_3000	もしかして　さっきのはなしは\nニオイをつかって……
A0_40040_TIM_100_4000	なかまを　おこそうとおもっていた　とか？
A0_40040_PIKACHU_100_4000	ティム　それだ！
A0_40040_PIKACHU_100_5000	マメパトが　すきな　ツーンとイイニオイ！\nそれがあれば　めをさますかもしれないぞ！
A0_40040_TIM_100_5000	そうか　かのうせいは　あるね！
A0_40040_TIM_100_6000	でも　どうやって\nそのニオイを　さがすの？
A0_40040_PIKACHU_100_6000	まだ　ひなんしていない　ポケモンたちが\nいるかもしれん　ききこみを　してみよう
A0_40050_PIKACHU_100_1000	これから　なにをすればいいか\nオレにききたいか？
A0_40050_SEL_0_1000	はい
A0_40050_SEL_0_2000	いいえ
A0_40050_PIKACHU_300_1000	マメパトは　きぜつしている
A0_40050_PIKACHU_300_2000	だから　めをさましてやれる\nほうほうを　みつけよう
A0_40050_PIKACHU_300_3000	ポケモンやひとに　はなしを　きくのは\nもちろんだが　まわりのじょうきょうにも\nちゅういを　はらうんだ
A0_40050_PIKACHU_400_1000	そうか\nまあ　じぶんでかんがえるのも　いいだろう
A0_40060_PIKACHU_100_1000	なにか　こまってないか？\nオレがアドバイスしようか？
A0_40060_SEL_0_1000	はい
A0_40060_SEL_0_2000	いいえ
A0_40060_PIKACHU_300_1000	フレフワンなら　きっと\nマメパトのめをさますことが　できるはずだ
A0_40060_PIKACHU_300_2000	フレフワンに　たのみにいこう
A0_40060_PIKACHU_400_1000	そうか\nまあ　それもいいだろう
A0_40070_PIKACHU_100_1000	どうした　まよってるのか？\nオレが　そうだんにのるぞ？
A0_40070_SEL_0_1000	はい
A0_40070_SEL_0_2000	いいえ
A0_40070_PIKACHU_300_1000	アーマーガアが\nとんでいった　ほうこうから\nポケモンのこえが　きこえた
A0_40070_PIKACHU_300_2000	ようすを　かくにんしに　いこう
A0_40070_PIKACHU_400_1000	そうか\nじぶんで　かんがえてみるのも　いいだろう
A0_40080_PIKACHU_100_1000	どうしたらいいか\nわからなくなっていないか？
A0_40080_PIKACHU_100_2000	オレのかんがえを　はなそうか？
A0_40080_SEL_0_1000	はい
A0_40080_SEL_0_2000	いいえ
A0_40080_PIKACHU_300_1000	このあたりの　ポケモンに\nききこみをしよう
A0_40080_PIKACHU_300_2000	ぼうしにつながる　てがかりも\nえられるかもしれない
A0_40080_PIKACHU_400_1000	そうか\nこまってないならいいが\nえんりょは　するなよ
A0_40085_PIKACHU_100_1000	なにか　こまってないか？\nオレのアドバイスを　きくか？
A0_40085_SEL_0_1000	はい
A0_40085_SEL_0_2000	いいえ
A0_40085_PIKACHU_300_1000	げんばけんしょうを　するには\nちらばったリンゴの　ちかくの\nきが　じゃまだ
A0_40085_PIKACHU_300_2000	とりあえず　きを　しらべてみるとしよう
A0_40085_PIKACHU_400_1000	そうか\nまあ　それもいいだろう
A0_40090_PIKACHU_100_1000	これから　なにをすればいいか\nオレにききたいか？
A0_40090_SEL_0_1000	はい
A0_40090_SEL_0_2000	いいえ
A0_40090_PIKACHU_300_1000	ちらばったリンゴを　しらべるんだ\nカジッチュを　さがさないとな
A0_40090_PIKACHU_400_1000	そうか\nまあ　じぶんでかんがえるのも　いいだろう
A0_9020_TIM_100_1000	ソフィア　ライムシティは\nはじめてだよね？
A0_9020_SOPHIA_100_1000	うん！　にぎやかで　たのしいところだね\nきてよかった！
A0_9020_SOPHIA_100_2000	アーマーガアには　おどろいたけど
A0_9020_TIM_100_2000	ソフィアも　かあさんも\nぶじでよかったよ
A0_9030_IRENE_100_500	ティム　げんきそうで　あんしんしたわ\nれんらくも　ほとんど　なかったじゃない
A0_9030_IRENE_100_1000	たよりの　ないのは\nよいたより　とは　いうけど\nちょっと　どが　すぎるわよ！
A0_9030_TIM_100_2000	ご　ごめんなさい……
A0_9030_SEL_0_1000	ライムシティに　ついて
A0_9030_SEL_0_2000	しょくじに　ついて
A0_9030_IRENE_300_1000	ライムシティは　ひさしぶりね
A0_9030_IRENE_300_2000	ハリーに　さいごにあったときだから\n２ねんぶりかしら？
A0_9030_IRENE_400_1000	ティム　しょくじは　どうしてるの？
A0_9030_TIM_400_1000	あさは　ハイハットカフェに　いくのが\nにっかなんだ
A0_9030_IRENE_400_2000	ハイハットカフェ？
A0_9030_TIM_400_2000	ピカチュウの　おきにいりの　おみせでね
A0_9030_TIM_400_3000	さいきん　いてんして\nいえから　ちかくなったんで\nあさは　もっぱらそこさ
A0_9030_IRENE_400_3000	じゃあ　あしたのゆうしょくは\nひさしぶりに　うでをふるおうかしら
A0_9030_IRENE_400_4000	かあさんのてりょうりが　こいしいでしょ？
A0_9030_TIM_400_4000	うん　ありがとう　たのしみにしてるよ
A0_9040_SECRETEMILIA_100_1000	ばんぐみの　とちゅうですが\nりんじニュースを　おつたえします
A0_9040_PIKACHU_100_1000	お　なんだ？
A0_Drama.asset
A0_Drama_PIKACHU_100_10	オレは　ピカチュウ\nじぶんで　いうのもなんだが……
A0_Drama_PIKACHU_100_20	めいたんていだ！
A0_Drama_PIKACHU_100_30_NOMESSAGE	ズズー（コーヒーを啜る音）
A0_Drama_PIKACHU_100_40	ピカッとひらめく　すいりで\nさまざまな　じけんに　いどんでいる
A0_Drama_PIKACHU_100_50	あいぼうハリーとの　ちょうさちゅうに\nトラブルに　まきこまれ
A0_Drama_PIKACHU_100_60	ハリーは　こつぜんときえ\nオレは　きおくを　うしなってしまった
A0_Drama_PIKACHU_100_70	そのご　まちをさまよっていると\nティムにであった
A0_Drama_PIKACHU_100_80	なぜか……　こいつとは　かいわが　できる
A0_Drama_PIKACHU_100_90	オレたちの　もくてきは　きょうつうしていた
A0_Drama_PIKACHU_100_100	ティムのちちおや　そして　あいぼうである\nたんていハリーを　みつけること
A0_Drama_PIKACHU_100_110	ハリーのゆくえを　おううちに
A0_Drama_PIKACHU_100_120	ポケモンを　くるわせる　やくひんＲにまつわる\nはんざいに　まきこまれた
A0_Drama_PIKACHU_100_130_NOMESSAGE	ズズー（コーヒーを啜る音）
A0_Drama_PIKACHU_100_140	オレとティムのかつやくで　じけんは　かいけつし\nライムシティは　すくわれたが……
A0_Drama_PIKACHU_100_150	ハリーは　みつからず
A0_Drama_PIKACHU_100_160	いまも　オレたちは　さがしつづけている
A0_Drama_PIKACHU_100_170	ハリー　おまえ……\nいったいどこに　いっちまったんだ？
A0_Drama_HOWARD_300_10	ライムシティのみなさんと　ポケモンとの\nあたらしい　きょうせいを　かんがえるため
A0_Drama_HOWARD_300_20	ほんじつより\nポケモンゆうこうしゅうかんが　はじまりました
A0_Drama_HOWARD_300_30	イベントを　きねんして
A0_Drama_HOWARD_300_40	ライムシティを　すくった\nティムくん　ピカチュウくんに　くんしょうを
A0_Drama_PIKACHU_300_10	ハリー！！
A0_Drama_HOWARD_300_50	ピカ？　ピカチュウくん　すまないね\nわたしの　はなしが　ながくて　たいくつしたかな？
A0_Drama_OAWOMAN02_300_10_NOMESSAGE	（大爆笑）
A0_Drama_TIM_300_10	もう……\nよくこんなときに　いねむりできるね
A0_Drama_PIKACHU_300_20	すまん　すまん
A0_Drama_HOWARD_300_60	さて……\n２ねんまえに　おきた　Ｒじけんにより
A0_Drama_HOWARD_300_70	ライムシティが　かかげる「ポケモンとのきょうせい」\nということばに　ぎもんふが　つきました
