Text/archive
ARC_ARCHIVE_TXT_01	在故事中登场的人物。
ARC_EM_TXT_EM0010_014_0000	【阶级：琥珀骑士】\n\n喜欢恶作剧的见习小丑。\n隶属于“阿玛丹团”马戏团，\n过着每日跟团长学习技艺的生活。\n在团长疯了以后继承团长的工作，\n成为妖精乐园之塔的管理者，\n负责抓捕、折磨人魂。\n\n作为小丑还不成熟，但能将从师父那里\n学来的人魂技艺运用自如，从人魂身上\n榨取能量的技术十分卓越。\n虽然力量不强，但坏脑筋很多，擅长构思\n新节目。这个能力在构思高效折磨人魂的\n手段时也发挥得淋漓尽致。\n\n虽然能通过从人魂处吸收能量生成屏障，\n但并没有战斗的天赋。
ARC_EM_TXT_EM0015_000_0000	【阶级：兵】\n\n外形特殊的妖精，可以在空中自由飞翔。原本\n是普通妖精，突然变异后获得了与体型不符的\n巨大羽翼。常在森林上空进行侦察，一旦发现\n异状便会立即告知其他妖精。此外，还负责向\n各地运送物资。\n\n战斗能力相当可观，他们会用身上的大炮\n从上空高速袭击敌人。对大部分生物来说，\n上方都是死角。\n作为获得飞行能力的代价，他们体型纤细，\n相当脆弱。一旦受到攻击，眨眼间就会被\n击落。\n\n妖精们虽然也对突然变异的条件进行了研究，\n但还未得出明确的结论。\n因此皮克希的诞生只能靠偶发性的变异，\n这就导致了皮克希个体数量的稀少。
ARC_EM_TXT_EM0120_000_0000	【阶级：蓝宝石主教】\n\n即便在森林里，数量也极其稀少的特殊妖精。\n生来便具有一骑当千的实力，其身体能力和\n魔力都远远凌驾于两足妖精之上。\n由于其实力之强，据说历代妖精王身边都能\n看到他们的身影。诸如“得梅罗者得天下”，\n有不少类似的格言流传下来。\n\n格外擅长使用操控冰的法术。既能从远处\n操控冰块移动，也能使冰块缠身，并通过\n增加自身推进力猛冲向敌人等，战术十分\n多样。每种攻击方式的破坏力都相当惊人，\n从正面迎击这种妖精只能说有勇无谋。\n\n在现今的妖精王国里有不少个体就任干部，\n掌握着发言权。一旦出现部下对付不了的\n外敌，他们就会默默出击，对王国的敌人\n降下冷酷制裁。
ARC_EM_TXT_EM0150_000_0000	【阶级：祖母绿战车（前）】\n\n栖息在飞龙湖畔的巨大龙型妖精。\n将除了自己的一切都视为食物，\n连同族妖精都会毫不留情地吞入腹中。\n由于体型巨大，食量自然也大得惊人，\n一天的时间几乎都花费在寻找食物上。\n拍打翅膀盘旋在阿瓦隆上空，将目光所及的\n一切生物吞吃殆尽，是一切生物畏惧的对象。\n平时喜好异食，非常爱吃会爆炸的魔界植物\n果实榴弹花。一旦发现哪里长着果实榴弹花\n就会降落下来，狼吞虎咽地逐一吞食入腹。\n\n全身长满了坚硬的鳞片，其硬度更甚钢铁。\n据记载，妖精们曾多次试图讨伐贾巴沃克，\n但任何武器都无法伤他分毫，结果每次都\n以失败收场。最为可怕的是他的高声咆哮。\n咆哮的同时会产生冲击波，只要挨上一下\n就会小命不保。
ARC_EM_TXT_EM0150_000_0001	拥有和其他妖精同等水平的知识与自我意志，\n只要对自身有利，有时也会与他人缔结合作\n关系。事实上，他曾经侍奉过当时的妖精王，\n暴虐无道，落败于上一任妖精王后遭到封印。\n普卡为他解开封印后，虽然暂时加入了对方\n麾下，但他无视指令在各处为非作歹，结果\n再次被关进了飞龙湖畔之牢。\n其后他凭借自己的力量冲破牢笼，一直以来\n随心所欲地蹂躏着阿瓦隆森林。\n恐怕直到迎来死亡，都没有任何人能束缚住\n这邪龙之心吧。
ARC_EM_TXT_EM0300_000_0000	【阶级：琥珀小丑】\n\n森林马戏团“阿玛丹团”的团长。\n技艺专家，钻研过多种节目。\n格外擅长以人魂大炮为首的人魂技艺。\n以“人魂的恐惧甜如蜜”为信条，\n夜以继日地不断尝试让人魂恐惧的崭新技艺。\n\n曾经的阿玛丹团成员众多，名声响彻了整片\n阿瓦隆森林。在新人的培养上阿玛丹・杜布\n也不遗余力。但由于一心钻研技艺，他渐渐\n走火入魔，如今的他孤身一人，不断举办着\n无人观赏的公演。\n\n原本只是个身材矮小的普通妖精。当马戏团\n文化传入森林时，他是头一个开始学习相关\n技艺的人。最初他只是勤奋磨练着基础技艺，\n但渐渐为人魂技艺所倾倒，很快便成了极受\n欢迎的招牌小丑。\n同时，他一直吸收着人魂的负面能量，结果\n变成了现在这般巨大的模样。
ARC_EM_TXT_EM0300_000_0001	在钻研技艺过程中领悟到了折磨人魂的技术，\n连支配森林的普卡也对其高度评价，并请他\n出任干部。\n被委任为妖精乐园之塔的管理者，还被委托\n改造阿玛丹大天幕以保护石之祠，深受普卡\n器重。据记录显示，阿玛丹・杜布本人曾以\n完成工作为条件，请普卡为马戏团提供援助\n与宣传。
ARC_EM_TXT_EM0100_000_0000	【阶级：天使“精灵”（幻）】\n\n受普卡支使的下级天使。\n对人类来说，亲和是最为熟悉的天使。\n据说他们会从天而降，用头顶上的光环为\n迷途之人照亮前路。在天使的阶级中隶属\n于最下级的“精灵”，但其具有的力量仍然\n远超人类智慧，普通人甚至无法触摸他们。\n尤其是亲和持有的神具，那是一种无比强大的\n武器。据说仅仅一击便能轻松粉碎大地。\n\n其实这个亲和并不是真正的亲和，而是普卡以\n踏足森林的魔女们的潜意识为蓝本制作出来的\n幻影。虽然只能存在于施术者普卡的身边，\n但其实力极为强劲，足以匹敌真正的亲和。\n对普卡来说是一枚好用的棋子，能够替他\n消灭碍事之人，至今已立下累累战功。\n\n普卡学会开启天界之门的魔法后，\n曾计划洗脑亲和，将其纳入自己麾下。\n但实际尝试后发现洗脑的法术无法生效，\n即便如此，普卡仍然垂涎天使的力量，\n经多年研究，他最终发明了生成幻影的法术。\n虽然只是幻影，但有天使侍奉左右这一事实\n极大地满足了普卡的虚荣心。
ARC_EM_TXT_EM1000_000_0000	活祭小柴猫的部分灵魂后\n解开身体封印的莱卡翁。\n虽然封印并未完全解开，\n但也具备了无与伦比的力量，\n即便集结数百只普通妖精也无法与之比肩。\n从父母身上继承了强大的力量，\n自幼时起便接受了魔法教育，\n因此能以多种招式将对手玩弄于股掌之中。\n身体素质也很高，若全力挥舞利爪，\n就连是森林中历史悠久的粗壮巨木\n也会在瞬间断成两截。\n\n本性不坏，绝非好战之徒，\n但若陷入不得不战的境地，\n也不会怜悯对手，而是勇猛果敢地进攻，\n为了赢得胜利拼尽全力。\n年纪虽轻，\n但其气量和实力都足以胜任下任妖精王。\n普卡最害怕的事莫过于莱卡翁复活，\n因此他便使用元素核心\n在他的身体上施加了重重封印。
ARC_EM_TXT_EM1000_000_0001	妖精与人类打破妖精戒律诞下的禁忌之子。\n自儿时起便被妖精疏远。\n然而，他深爱着自己的父母，每日刻苦修炼，\n变得纯粹强大，以回报父母灌注的爱。\n对他来说，母亲摩根娜向自己\n教授魔法的日子是一段格外宝贵的时光。\n他能熟练使用魔法，\n这让他十分感激母亲，同时也无比自豪。
ARC_EM_TXT_EM2000_000_0000	瑟蕾莎的师父。眼看着爱子莱卡翁陷入危机，\n情绪激动的她暴露了本性。\n与前任妖精王阿斯尔结合并诞下了莱卡翁，\n因此遭暗影一族放逐。\n但本人实力强劲，\n据说就算与当时的长老相比也毫不逊色。\n深爱莱卡翁，为了他将不惜一切代价。\n\n曾与阿斯尔共同平息过阿瓦隆森林的战乱，\n积累了丰富的战斗经验，\n即便在魔女中也算得上是出类拔萃。\n她的魔导术以过去的经验为基础，\n再加上对普卡他们的复仇心，早已历经千锤百炼。\n这种魔导术将为敌人带来绝望，并彻底扼杀他们。\n\n她将使用魔导术为自己创造优势，\n与签约魔兽互相配合攻向对手的身姿\n宛如一口咬住落网猎物的蜘蛛。
ARC_EM_TXT_EM2010_000_0000	全身覆盖着尖刺，不祥的蜘蛛魔兽。\n摩根娜遭人设计，失去了心爱的丈夫和儿子，\n自己也被逐出阿瓦隆森林。\n为向普卡复仇，摩根娜与她签订了契约。\n以锐利腿部使出的攻击十分迅猛。\n身上的尖刺涂满了能侵蚀神经的剧毒，\n只要沾上一滴，就连巨兽也将动弹不得。\n\n“魔界的大河斯提克斯”是她的巢穴，\n身陷永无止境的愤怒之中，\n不断吞食周遭的生物。\n然而不管如何吞食痛饮都无法满足她，\n这使她的怒焰更甚。\n\n与她对话几乎是不可能的事，\n但据说她仅对知己敞开心扉。\n摩根娜心怀对普卡他们的愤怒与失去爱子的痛苦，\n这才得以与雷克斯·塔尼奥尼斯互相理解，\n最终缔结契约。\n\n摩根娜只将她当成工具看待，\n但也很佩服她的实力，\n她是摩根娜名副其实的王牌。\n让雷克斯·塔尼奥尼斯生成自己的幻影，\n扰乱敌人发动袭击是摩根娜尤其自傲的战术，\n迄今为止尚无人能破解她们的默契配合。
ARC_EM_TXT_EM2020_000_0000	被瑟蕾莎和小柴猫逼至绝境后，\n发挥出真正实力的摩根娜。\n以魔导术强行吸收魔兽雷克斯·塔尼奥尼斯的灵魂，\n化作半人半蜘蛛的异形，其样貌堪称是禁忌本身。\n摩根娜在真正意义上控制了雷克斯·塔尼奥尼斯，\n她的意识完全属于摩根娜。\n\n与魔兽相融合的魔导术为恶魔变装，\n是部分魔女长年寻求着的秘术中的秘术。\n即便在魔女漫长的历史中，也鲜少有人能成功。\n绝大部分魔女都惨遭失败，\n落得灵魂被魔兽夺走的下场。\n摩根娜能成功变为这副姿态，\n是因为她与魔兽已经能同步至如此地步，\n换言之，她心中的愤怒已经满溢而出。\n\n雷克斯·塔尼奥尼斯锐利而沉重的带毒攻击，\n再加上摩根娜无比强大的魔法，\n两者人魔合一，配合无间。\n要回避她们的攻击实在是难于登天。\n但维持这个形态极度耗费魔力与体力，\n可以说是摩根娜的最后手段。\n连她自己也不敢保证能恢复成原本的样貌，\n但她还是决心舍身一战，只为救下爱子莱卡翁。\n\n在魔女和恶魔的关系上，\n摩根娜采取了“支配”，\n而瑟蕾莎采取了“合作”。\n两人虽为师徒，但对恶魔的看法却大相径庭，\n就结果而言，这成了决定两人命运的关键。
ARC_ARCHIVE_NOTE_TXT_0001	总算抵达我心心念念的这个地方了！\n“神隐之森”阿瓦隆森林！\n如此人迹罕至的广阔森林可是很少见的。\n这里肯定遍地都是未知的动植物！\n对生物学家来说简直就是天堂啊！\n哎呀，我开始兴奋起来了！\n虽然来这里没跟公司报备，不知道是不是\n已经被开除学者之列……不过先不管这些。\n走进森林的第一感受是，这里的植物都大得\n不合常理。应该是多亏了土壤里的营养格外\n丰富吧。还有就是能看到许多进化方式相当\n独特的植物。用巨大花蕾攻击、捕食猎物的\n植物我还是第一次见。啊，挨植物的揍也是\n第一次。感谢这片森林赐予我的崭新邂逅，\n就让我把这两种植物命名为“巴德打手”\n和“巴德吞噬者”吧。
ARC_ARCHIVE_NOTE_TXT_0002	正如之前笔记上所写，这个森林里的大部分\n植物都长得十分巨大。但是，似乎其中也有\n在发育阶段就停止生长的。我观察了数天，\n它们并没有继续生长的意思。\n能想到的原因……或许是营养不足吧。\n阿瓦隆森林的土壤中可能缺乏某种它们生长\n所需的营养物质。那些植物或许是原本长在\n别处的外来品种。\n最快得到答案的办法就是直接问本人你是从\n哪里来的……这当然是不可能的。\n我还捡到了黑红色的花瓣和金平糖。\n这种花瓣我是第一次见……说不定这就是\n妖精喜欢的那个魔界蔷薇“缟玛瑙蔷薇”。\n毕竟人们都说阿瓦隆森林里住着妖精。\n要真是这样，这甜甜的金平糖难不成是\n妖精的点心……？啊，真想见见妖精啊……！
ARC_ARCHIVE_NOTE_TXT_0003	接下来，我要记录一件奇怪的事。\n但那的确是我亲眼所见。\n以后回头来看这段记录时，我要相信自己。\n刚刚……牙齿在走路。\n不，我没有疯。\n牙齿真的在走路！\n我以为这是一种长得像牙齿的生物，还稍微\n观察了一下，但无论怎么看那都是人的牙齿。\n它长着眼睛，大小也和人类的牙齿相差很多，\n最奇怪的就是会到处走动……\n但形状和材质都和人类的牙齿别无二致。\n莫非是遭遇神隐的人们，他们的牙齿被妖精\n施了魔法以后动起来了……不行不行。\n我可是学者，不能随意留下这种臆测。\n总之，先称呼这种生物为“牙牙”吧。\n这种生物似乎以金平糖为主食，或许这就是\n它们全都有蛀牙的原因。如果试图拿走它们\n收集来的金平糖，它们就会生气地撞过来，\n一定要小心……！
ARC_ARCHIVE_NOTE_TXT_0004	探索森林时，发现了疑似野营的痕迹。\n除了我，可能还有其他人在这座森林里。\n我甚至在地上发现了传单！\n似乎是马戏团的宣传，莫非是某个马戏团\n看上了这座森林，试图开拓市场……\n那可不行，不行不行！\n要是在这座森林里遇见我以外的其他人类，\n我可得好好问问。\n先不管这些，我还是来写写植物吧！\n我最近发现了一种像是大毛豆的植物。\n用力剥开皮就会发现里面满是金平糖！\n或许金平糖就是这种植物的果实……\n但我之前也见过其他树上长出金平糖来。\n这样看来，金平糖或许是浓缩了森林\n营养成分的结晶……之类的东西？\n如果真是这样，想必营养一定十分丰富，\n怪不得会吃上瘾呢！
